Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
14,Mainz 05,2017,36,0.265,38,52,31.65,45.18,98,24.6,21.5,1.021788,0.9882545454545454
12,Mainz 05,2018,43,0.353,46,57,49.21,62.8,159,39.1,36.062,1.0208499999999998,1.0181025
13,Mainz 05,2019,37,0.324,44,65,46.19,62.9,121,34.1,31.312,1.0225953333333333,0.9800833333333333
12,Mainz 05,2020,39,0.294,39,56,48.46,52.2,163,31.0,51.125,0.9922741176470588,0.9967346153846154
9,FC Cologne,2015,43,0.294,38,42,42.87,44.43,68,12.2,15.125,1.0052349999999999,0.9937863636363636
5,FC Cologne,2016,49,0.353,51,42,45.34,41.27,116,30.2,22.625,0.9970499999999999,1.043885
18,FC Cologne,2017,22,0.147,35,70,41.5,67.17,91,17.1,22.438,0.9956969230769231,1.00064625
16,FC Cologne,2020,33,0.235,34,60,39.64,53.18,118,36.9,21.938,0.9998542857142857,1.0137914285714285
13,Hannover 96,2014,37,0.265,40,56,36.43,46.28,76,18.1,17.562,1.000788125,0.9966700000000001
18,Hannover 96,2015,25,0.206,31,62,32.43,63.58,60,14.2,14.375,0.9792115789473685,0.97792
17,Hannover 96,2018,21,0.147,31,71,34.81,73.12,91,30.9,20.812,0.992750625,0.9809241666666667
14,VfB Stuttgart,2014,36,0.265,42,60,45.64,48.1,86,22.3,18.188,0.9960199999999999,1.0351461538461537
17,VfB Stuttgart,2015,33,0.265,50,75,57.7,65.06,81,19.3,15.812,0.986174705882353,0.9842049999999999
16,VfB Stuttgart,2018,28,0.206,32,70,37.38,62.7,143,16.3,52.688,1.0295938461538463,0.97427375
15,Hertha Berlin,2014,35,0.265,36,52,32.66,46.2,66,12.9,16.438,1.0022911111111112,1.0365744444444445
7,Hertha Berlin,2015,50,0.412,42,42,35.9,43.94,78,13.1,23.438,1.013322307692308,1.0216527272727272
6,Hertha Berlin,2016,49,0.441,43,47,38.15,49.39,96,12.5,34.062,1.00887,0.9860649999999999
10,Hertha Berlin,2017,43,0.294,43,46,38.58,44.71,131,23.7,43.312,1.0036842857142858,0.9719361538461538
11,Hertha Berlin,2018,43,0.324,49,57,50.52,61.58,207,42.9,52.562,1.0072546153846154,0.9592791666666667
10,Hertha Berlin,2019,41,0.324,48,59,44.3,55.58,217,79.7,42.062,1.021566875,0.9788953846153847
14,Hertha Berlin,2020,35,0.235,41,52,40.71,46.69,228,80.2,44.125,1.0269023076923078,0.9865669230769232
16,Hambourg SV,2014,35,0.265,25,50,32.86,55.83,87,19.9,17.812,1.0497223076923077,0.9700673333333332
10,Hambourg SV,2015,41,0.324,40,46,38.75,51.19,63,19.8,10.5,1.010520625,0.9750257142857144
14,Hambourg SV,2016,38,0.294,33,61,31.91,57.14,80,14.6,19.375,0.9814625,1.0002966666666666
17,Hambourg SV,2017,31,0.235,29,53,36.04,54.06,62,14.9,14.188,0.9963377777777777,0.961235
17,Freiburg,2014,34,0.206,36,47,38.69,45.91,57,12.6,15.25,0.9696205555555557,0.9617292307692308
15,Freiburg,2017,36,0.235,32,56,36.98,45.66,100,22.0,31.375,0.98794375,0.9459711111111111
13,Freiburg,2018,36,0.235,46,61,41.23,61.43,122,38.3,29.438,0.9796589473684211,0.9389209999999999
8,Freiburg,2019,48,0.382,48,47,46.14,63.37,122,35.9,36.312,0.9779562499999999,0.9656007692307692
10,Freiburg,2020,45,0.353,52,52,45.11,52.98,138,42.3,32.688,0.9878652941176469,0.9958499999999999
17,Ingolstadt,2016,32,0.235,36,57,44.51,49.19,38,11.4,8.375,0.9721211764705883,1.0350522222222223
18,Darmstadt,2016,25,0.206,28,63,33.91,68.04,26,5.6,5.75,0.972115625,0.8916950000000001
6,RB Leipzig,2017,53,0.441,57,53,51.42,47.42,373,133.1,60.188,0.9890116666666666,1.0019749999999998
3,RB Leipzig,2018,66,0.559,63,29,68.25,39.65,479,145.9,117.062,0.986547894736842,1.054044
3,RB Leipzig,2019,66,0.529,81,37,76.13,37.58,570,152.4,139.5,1.0091422222222224,1.0421583333333335
2,RB Leipzig,2020,65,0.559,60,32,67.14,29.24,574,116.7,155.312,1.03034375,1.054947857142857
17,Fortuna Düsseldorf,2019,30,0.176,36,67,35.69,64.45,71,13.6,17.375,0.9734219999999999,1.0162550000000001
7,Union Berlin,2020,50,0.353,50,43,46.0,43.51,82,22.4,23.25,0.9538957142857142,0.9475371428571429
