Position,Valeur maximum,Years,Crew
Défense,7.5,2016,1-fc-koln
Milieu,20.0,2016,1-fc-koln
Attaquant,20.0,2016,1-fc-koln
Total,20.0,2016,1-fc-koln
Gardien,7.0,2017,1-fc-koln
Défense,7.5,2017,1-fc-koln
Milieu,15.0,2017,1-fc-koln
Attaquant,4.0,2017,1-fc-koln
Total,15.0,2017,1-fc-koln
Gardien,6.0,2018,1-fc-koln
Défense,10.0,2018,1-fc-koln
Milieu,10.0,2018,1-fc-koln
Attaquant,7.0,2018,1-fc-koln
Total,10.0,2018,1-fc-koln
Gardien,4.0,2019,1-fc-koln
Défense,11.0,2019,1-fc-koln
Milieu,6.8,2019,1-fc-koln
Attaquant,9.5,2019,1-fc-koln
Total,11.0,2019,1-fc-koln
Gardien,4.0,2020,1-fc-koln
Défense,12.0,2020,1-fc-koln
Milieu,10.0,2020,1-fc-koln
Attaquant,15.0,2020,1-fc-koln
Total,15.0,2020,1-fc-koln
Gardien,9.5,2014,hannover-96
Défense,5.0,2014,hannover-96
Milieu,6.5,2014,hannover-96
Attaquant,6.0,2014,hannover-96
Total,9.5,2014,hannover-96
Gardien,8.0,2015,hannover-96
Défense,5.0,2015,hannover-96
Milieu,2.5,2015,hannover-96
Attaquant,3.0,2015,hannover-96
Total,8.0,2015,hannover-96
Gardien,0.75,2016,hannover-96
Défense,5.0,2016,hannover-96
Milieu,2.0,2016,hannover-96
Attaquant,3.0,2016,hannover-96
Total,5.0,2016,hannover-96
Gardien,1.5,2017,hannover-96
Défense,18.0,2017,hannover-96
Milieu,3.0,2017,hannover-96
Attaquant,8.5,2017,hannover-96
Total,18.0,2017,hannover-96
Gardien,1.0,2018,hannover-96
Défense,12.0,2018,hannover-96
Milieu,8.5,2018,hannover-96
Attaquant,12.0,2018,hannover-96
Total,12.0,2018,hannover-96
Gardien,2.0,2019,hannover-96
Défense,5.5,2019,hannover-96
Milieu,1.8,2019,hannover-96
Attaquant,6.3,2019,hannover-96
Total,6.3,2019,hannover-96
Gardien,0.5,2020,hannover-96
Défense,1.8,2020,hannover-96
Milieu,2.5,2020,hannover-96
Attaquant,3.0,2020,hannover-96
Total,3.0,2020,hannover-96
Gardien,4.5,2014,vfb-stuttgart
Défense,10.0,2014,vfb-stuttgart
Milieu,6.0,2014,vfb-stuttgart
Attaquant,12.0,2014,vfb-stuttgart
Total,12.0,2014,vfb-stuttgart
Gardien,2.5,2015,vfb-stuttgart
Défense,4.0,2015,vfb-stuttgart
Milieu,7.0,2015,vfb-stuttgart
Attaquant,8.0,2015,vfb-stuttgart
Total,10.0,2015,vfb-stuttgart
Gardien,1.5,2016,vfb-stuttgart
Défense,4.0,2016,vfb-stuttgart
Milieu,2.5,2016,vfb-stuttgart
Attaquant,4.5,2016,vfb-stuttgart
Total,4.5,2016,vfb-stuttgart
Gardien,7.0,2017,vfb-stuttgart
Défense,30.0,2017,vfb-stuttgart
Milieu,18.0,2017,vfb-stuttgart
Attaquant,6.0,2017,vfb-stuttgart
Total,30.0,2017,vfb-stuttgart
Gardien,4.5,2018,vfb-stuttgart
Défense,30.0,2018,vfb-stuttgart
Milieu,12.0,2018,vfb-stuttgart
Attaquant,6.5,2018,vfb-stuttgart
Total,30.0,2018,vfb-stuttgart
Gardien,4.0,2019,vfb-stuttgart
Défense,4.0,2019,vfb-stuttgart
Milieu,11.0,2019,vfb-stuttgart
Attaquant,7.2,2019,vfb-stuttgart
Total,11.0,2019,vfb-stuttgart
Gardien,13.0,2020,vfb-stuttgart
Défense,16.0,2020,vfb-stuttgart
Milieu,22.0,2020,vfb-stuttgart
Attaquant,22.0,2020,vfb-stuttgart
Total,25.0,2020,vfb-stuttgart
Gardien,3.0,2014,hertha-bsc
Défense,4.5,2014,hertha-bsc
Milieu,3.0,2014,hertha-bsc
Attaquant,4.5,2014,hertha-bsc
Total,5.0,2014,hertha-bsc
Gardien,2.0,2015,hertha-bsc
Défense,7.0,2015,hertha-bsc
Milieu,10.0,2015,hertha-bsc
Attaquant,4.5,2015,hertha-bsc
Total,10.0,2015,hertha-bsc
Gardien,2.5,2016,hertha-bsc
Défense,14.0,2016,hertha-bsc
Milieu,10.0,2016,hertha-bsc
Attaquant,4.0,2016,hertha-bsc
Total,14.0,2016,hertha-bsc
Gardien,2.5,2017,hertha-bsc
