id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
336,Johannes Geis,34,2969,4,3.4362,3,4.4705,78,74,4,0,M S,Mainz 05,3,2.6784,8.2118,7.3241,2014
360,Ádám Szalai,26,1311,4,4.6145,4,3.4451,36,24,2,1,F S,Hoffenheim,4,4.6145,6.8404,1.4665,2014
2153,Rafael van der Vaart,24,1653,4,4.4054,1,1.889,33,30,10,0,M S,Hamburger SV,1,2.132,3.9209,1.925,2014
2648,Änis Ben-Hatira,15,838,4,3.2443,4,2.6041,23,13,3,0,M S,Hertha Berlin,4,3.2443,4.8698,0.2462,2014
4246,Mike Frantz,25,1191,4,3.4932,1,1.2349,23,12,3,0,F M S,Freiburg,4,3.4932,5.093,1.4539,2014
4273,Alexander Madlung,22,1343,4,1.5678,0,0.0105,16,1,5,0,D S,Eintracht Frankfurt,4,1.5678,1.7001,1.6358,2014
4296,Moritz Stoppelkamp,27,2182,4,5.592,2,4.0709,66,43,5,0,F M S,Paderborn,4,5.592,10.2499,2.722,2014
32,Valentin Stocker,26,1863,3,3.0133,4,2.9926,35,28,6,0,F M S,Hertha Berlin,3,3.0133,6.6785,2.2451,2014
40,Stefan Bell,31,2790,3,2.4882,1,1.273,23,6,2,0,D,Mainz 05,3,2.4882,5.9541,5.0044,2014
64,Filip Kostic,28,1511,3,3.3815,5,7.3176,47,37,5,0,M S,VfB Stuttgart,3,3.3815,10.1797,4.7192,2014
65,Timo Werner,32,1620,3,2.571,1,1.521,30,15,1,0,F M S,VfB Stuttgart,3,2.571,5.0998,1.5179,2014
110,Theodor Gebre Selassie,26,2276,3,2.9811,1,1.0419,18,19,0,0,D S,Werder Bremen,3,2.9811,3.5105,2.8986,2014
135,Yuya Osako,28,1519,3,4.0857,3,1.682,31,12,1,0,F M S,FC Cologne,3,4.0857,7.6563,2.9067,2014
176,Sven Schipplock,25,797,3,3.4034,0,0.9139,27,8,4,0,F S,Hoffenheim,3,3.4034,4.7987,1.9064,2014
179,Zoltán Stieber,25,1530,3,2.8873,2,1.9409,33,31,1,0,F M S,Hamburger SV,3,2.8873,5.792,1.9186,2014
275,Tim Matavz,16,509,3,1.5709,1,0.3034,17,4,0,0,F S,Augsburg,3,1.5709,1.894,0.1686,2014
280,Halil Altintop,31,2485,3,3.8771,4,5.7026,37,51,1,0,F M S,Augsburg,3,3.8771,12.6268,5.2556,2014
289,Marc Stendera,26,1855,3,1.2421,5,3.0579,24,31,6,0,F M S,Eintracht Frankfurt,3,1.2421,7.3871,4.9576,2014
314,Ilkay Gündogan,23,1913,3,2.2297,4,3.2292,40,28,2,0,M S,Borussia Dortmund,3,2.2297,12.4958,9.1892,2014
317,Henrikh Mkhitaryan,28,1919,3,5.7363,4,6.6326,69,45,4,0,M S,Borussia Dortmund,3,5.7363,14.5945,6.2006,2014
320,Jonas Hofmann,12,638,3,2.3376,0,0.3126,12,4,1,0,F M S,"Borussia Dortmund,Mainz 05",2,1.5798,2.2253,1.0381,2014
337,Leroy Sané,13,607,3,2.0758,0,0.8095,12,5,1,0,F M S,Schalke 04,3,2.0758,3.1766,1.1064,2014
381,Ronny,19,933,3,1.5591,2,1.7796,22,16,4,0,M S,Hertha Berlin,2,0.8013,1.7433,1.004,2014
383,Florian Klein,34,2957,3,2.0657,2,2.0298,22,23,2,0,D M S,VfB Stuttgart,2,1.3079,6.5535,3.5853,2014
386,Gojko Kacar,13,709,3,1.1441,0,0.24,10,7,4,0,M S,Hamburger SV,3,1.1441,1.7758,1.6332,2014
412,André Hahn,23,1313,3,3.6464,2,2.5382,37,12,3,0,F M S,Borussia M.Gladbach,3,3.6464,6.3572,1.1486,2014
566,Sebastian Prödl,22,1741,3,2.2483,1,1.1464,19,4,5,0,D S,Werder Bremen,3,2.2483,2.6085,2.0211,2014
1209,Ciro Immobile,24,953,3,4.7835,1,0.6824,42,8,1,0,F S,Borussia Dortmund,3,4.0257,5.2157,1.2569,2014
2632,Elkin Soto,16,409,3,0.9145,1,0.4071,9,4,3,0,M S,Mainz 05,3,0.9145,2.1015,0.7887,2014
