Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Défense,"23,38",94.0,11.75,2019,bayer 04 leverkusen
Milieu de terrain,"23,73",172.1,15.65,2019,bayer 04 leverkusen
Attaquant,"23,29",124.3,17.76,2019,bayer 04 leverkusen
Total,"24,14",398.95,13.76,2019,bayer 04 leverkusen
Gardien,"23,50",7.85,1.96,2020,bayer 04 leverkusen
Défense,"24,30",107.0,10.7,2020,bayer 04 leverkusen
Milieu de terrain,"25,56",112.9,12.54,2020,bayer 04 leverkusen
Attaquant,"22,50",145.5,14.55,2020,bayer 04 leverkusen
Total,"24,00",373.25,11.31,2020,bayer 04 leverkusen
Gardien,"28,33",2.9,0.967,2014, augsburg
Défense,"24,58",15.55,1.3,2014, augsburg
Milieu de terrain,"22,64",13.83,1.26,2014, augsburg
Attaquant,"25,56",17.8,1.98,2014, augsburg
Total,"24,54",50.08,1.43,2014, augsburg
Gardien,"26,50",4.9,1.23,2015, augsburg
Défense,"24,00",32.6,2.51,2015, augsburg
Milieu de terrain,"24,83",14.93,1.24,2015, augsburg
Attaquant,"25,40",23.5,2.35,2015, augsburg
Total,"24,87",75.93,1.95,2015, augsburg
Gardien,"27,00",4.6,1.53,2016, augsburg
Défense,"24,46",28.3,2.18,2016, augsburg
Milieu de terrain,"26,27",14.13,1.28,2016, augsburg
Attaquant,"24,80",18.83,1.88,2016, augsburg
Total,"25,30",65.85,1.78,2016, augsburg
Gardien,"27,75",4.95,1.24,2017, augsburg
Défense,"23,83",47.35,3.95,2017, augsburg
Milieu de terrain,"24,90",15.38,1.54,2017, augsburg
Attaquant,"23,86",32.65,4.66,2017, augsburg
Total,"24,64",100.33,3.04,2017, augsburg
Gardien,"24,50",7.3,1.83,2018, augsburg
Défense,"24,00",67.55,4.83,2018, augsburg
Milieu de terrain,"22,82",19.15,1.74,2018, augsburg
Attaquant,"24,64",45.25,4.11,2018, augsburg
Total,"23,90",139.25,3.48,2018, augsburg
Gardien,"26,75",4.4,1.1,2019, augsburg
Défense,"24,23",48.23,3.71,2019, augsburg
Milieu de terrain,"23,90",19.55,1.96,2019, augsburg
Attaquant,"24,30",40.78,4.08,2019, augsburg
Total,"24,43",112.95,3.05,2019, augsburg
Gardien,"26,67",3.2,1.07,2020, augsburg
Défense,"24,38",37.6,4.7,2020, augsburg
Milieu de terrain,"23,78",19.6,2.18,2020, augsburg
Attaquant,"25,45",32.65,2.97,2020, augsburg
Total,"24,81",93.05,3.0,2020, augsburg
Gardien,"25,25",8.55,2.14,2014, schalke 04
Défense,"22,08",77.03,5.93,2014, schalke 04
Milieu de terrain,"23,75",56.75,7.09,2014, schalke 04
Attaquant,"22,73",69.65,6.33,2014, schalke 04
Total,"23,00",211.98,5.89,2014, schalke 04
Gardien,"27,60",10.25,2.05,2015, schalke 04
