Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years,xG coef,xGA coef,xPTS coef
3,RasenBallsport Leipzig,34,18,12,4,81,37,66,76.13,37.58,68.71,2019,1.066,1.0,0.971
4,Borussia M.Gladbach,34,20,5,9,66,40,65,73.58,46.05,62.63,2019,0.904,0.87,1.048
5,Bayer Leverkusen,34,19,6,9,61,44,63,61.88,49.68,54.62,2019,1.0,0.898,1.167
6,Hoffenheim,34,15,7,12,53,53,52,56.66,58.75,45.87,2019,0.946,0.914,1.156
7,Wolfsburg,34,13,10,11,48,46,49,54.43,41.91,55.69,2019,0.889,1.122,0.891
8,Freiburg,34,13,9,12,48,47,48,46.14,63.37,39.15,2019,1.043,0.746,1.231
9,Eintracht Frankfurt,34,13,6,15,59,60,45,58.33,50.93,52.72,2019,1.017,1.2,0.865
10,Hertha Berlin,34,11,8,15,48,59,41,44.3,55.58,39.55,2019,1.091,1.073,1.051
11,Union Berlin,34,12,5,17,41,58,41,41.58,54.94,39.32,2019,1.0,1.074,1.051
12,Schalke 04,34,9,12,13,38,58,39,35.93,54.22,35.84,2019,1.086,1.074,1.114
13,Mainz 05,34,11,4,19,44,65,37,46.19,62.9,39.15,2019,0.957,1.048,0.949
14,Augsburg,34,9,9,16,45,63,36,43.86,59.12,39.78,2019,1.047,1.068,0.923
15,FC Cologne,34,10,6,18,51,69,36,49.28,54.54,43.89,2019,1.041,1.278,0.837
16,Werder Bremen,34,8,7,19,42,69,31,37.74,56.94,35.12,2019,1.135,1.232,0.886
17,Fortuna Duesseldorf,34,6,12,16,36,67,30,35.69,64.45,32.87,2019,1.029,1.047,0.938
18,Paderborn,34,4,8,22,37,74,20,38.47,67.83,28.67,2019,0.974,1.104,0.714
1,Bayern Munich,34,24,6,4,99,44,78,75.93,38.87,67.04,2020,1.32,1.158,1.164
2,RasenBallsport Leipzig,34,19,8,7,60,32,65,67.14,29.24,71.42,2020,0.896,1.103,0.915
3,Borussia Dortmund,34,20,4,10,75,46,64,68.95,39.44,65.19,2020,1.103,1.179,0.985
4,Wolfsburg,34,17,10,7,61,37,61,51.59,39.16,55.31,2020,1.196,0.949,1.109
5,Eintracht Frankfurt,34,16,12,6,69,53,60,60.53,47.73,56.28,2020,1.15,1.128,1.071
6,Bayer Leverkusen,34,14,10,10,53,39,52,47.28,40.41,50.01,2020,1.128,0.975,1.04
7,Union Berlin,34,12,14,8,50,43,50,46.0,43.51,51.71,2020,1.087,1.0,0.98
8,Borussia M.Gladbach,34,13,10,11,64,56,49,54.11,44.71,52.18,2020,1.185,1.273,0.942
9,VfB Stuttgart,34,12,9,13,56,55,45,52.18,53.79,47.18,2020,1.077,1.038,0.957
10,Freiburg,34,12,9,13,52,52,45,45.11,52.98,41.18,2020,1.156,1.0,1.098
11,Hoffenheim,34,11,10,13,52,54,43,50.32,52.88,45.18,2020,1.04,1.038,0.956
12,Mainz 05,34,10,9,15,39,56,39,48.46,52.2,44.37,2020,0.812,1.077,0.886
13,Augsburg,34,10,6,18,36,54,36,36.01,57.15,34.48,2020,1.0,0.947,1.059
14,Hertha Berlin,34,8,11,15,41,52,35,40.71,46.69,43.21,2020,1.025,1.13,0.814
15,Arminia Bielefeld,34,9,8,17,26,52,35,31.14,58.98,30.08,2020,0.839,0.897,1.167
16,FC Cologne,34,8,9,17,34,60,33,39.64,53.18,37.71,2020,0.872,1.132,0.892
17,Werder Bremen,34,7,10,17,36,57,31,32.51,53.7,33.75,2020,1.125,1.075,0.939
18,Schalke 04,34,3,7,24,25,86,16,27.66,70.66,20.47,2020,0.926,1.229,0.8
