Position,Valeur maximum,Years,Crew
Gardien,2.0,2014,athletic-bilbao
Défense,15.0,2014,athletic-bilbao
Milieu,18.0,2014,athletic-bilbao
Attaquant,11.0,2014,athletic-bilbao
Total,18.0,2014,athletic-bilbao
Gardien,2.0,2015,athletic-bilbao
Défense,25.0,2015,athletic-bilbao
Milieu,15.0,2015,athletic-bilbao
Attaquant,15.0,2015,athletic-bilbao
Total,25.0,2015,athletic-bilbao
Gardien,8.0,2016,athletic-bilbao
Défense,25.0,2016,athletic-bilbao
Milieu,15.0,2016,athletic-bilbao
Attaquant,25.0,2016,athletic-bilbao
Total,25.0,2016,athletic-bilbao
Gardien,20.0,2017,athletic-bilbao
Défense,50.0,2017,athletic-bilbao
Milieu,10.0,2017,athletic-bilbao
Attaquant,30.0,2017,athletic-bilbao
Total,50.0,2017,athletic-bilbao
Gardien,6.0,2018,athletic-bilbao
Défense,32.0,2018,athletic-bilbao
Milieu,15.0,2018,athletic-bilbao
Attaquant,50.0,2018,athletic-bilbao
Total,50.0,2018,athletic-bilbao
Gardien,16.0,2019,athletic-bilbao
Défense,25.5,2019,athletic-bilbao
Milieu,14.0,2019,athletic-bilbao
Attaquant,40.0,2019,athletic-bilbao
Total,40.0,2019,athletic-bilbao
Gardien,20.0,2020,athletic-bilbao
Défense,20.0,2020,athletic-bilbao
Milieu,12.0,2020,athletic-bilbao
Attaquant,25.0,2020,athletic-bilbao
Total,25.0,2020,athletic-bilbao
Gardien,3.0,2014,celta-vigo
Défense,3.5,2014,celta-vigo
Milieu,5.0,2014,celta-vigo
Attaquant,6.0,2014,celta-vigo
Total,6.0,2014,celta-vigo
Gardien,3.5,2015,celta-vigo
Défense,7.0,2015,celta-vigo
Milieu,6.0,2015,celta-vigo
Attaquant,15.0,2015,celta-vigo
Total,15.0,2015,celta-vigo
Gardien,5.0,2016,celta-vigo
Défense,10.0,2016,celta-vigo
Milieu,8.0,2016,celta-vigo
Attaquant,18.0,2016,celta-vigo
Total,18.0,2016,celta-vigo
Gardien,3.0,2017,celta-vigo
Défense,15.0,2017,celta-vigo
Milieu,15.0,2017,celta-vigo
Attaquant,25.0,2017,celta-vigo
Total,25.0,2017,celta-vigo
Gardien,3.0,2018,celta-vigo
Défense,15.0,2018,celta-vigo
Milieu,25.0,2018,celta-vigo
Attaquant,40.0,2018,celta-vigo
Total,40.0,2018,celta-vigo
Gardien,8.0,2019,celta-vigo
Défense,7.0,2019,celta-vigo
Milieu,16.0,2019,celta-vigo
Attaquant,16.0,2019,celta-vigo
Total,16.0,2019,celta-vigo
Gardien,5.0,2020,celta-vigo
Défense,7.0,2020,celta-vigo
Milieu,20.0,2020,celta-vigo
Attaquant,15.0,2020,celta-vigo
Total,20.0,2020,celta-vigo
Gardien,6.0,2014,fc-malaga
Défense,6.0,2014,fc-malaga
Milieu,10.0,2014,fc-malaga
Attaquant,6.0,2014,fc-malaga
Total,10.0,2014,fc-malaga
Gardien,5.0,2015,fc-malaga
Défense,4.0,2015,fc-malaga
Milieu,11.0,2015,fc-malaga
Attaquant,5.0,2015,fc-malaga
Total,11.0,2015,fc-malaga
Gardien,2.0,2016,fc-malaga
Défense,7.5,2016,fc-malaga
Milieu,10.0,2016,fc-malaga
Attaquant,10.0,2016,fc-malaga
Total,10.0,2016,fc-malaga
Gardien,2.0,2017,fc-malaga
Défense,2.5,2017,fc-malaga
Milieu,3.0,2017,fc-malaga
Attaquant,3.5,2017,fc-malaga
Total,3.5,2017,fc-malaga
Gardien,1.0,2018,fc-malaga
Défense,4.0,2018,fc-malaga
Milieu,3.5,2018,fc-malaga
Attaquant,6.0,2018,fc-malaga
Total,6.0,2018,fc-malaga
Gardien,0.65,2019,fc-malaga
Défense,1.4,2019,fc-malaga
Milieu,1.6,2019,fc-malaga
Attaquant,1.3,2019,fc-malaga
Total,1.6,2019,fc-malaga
Gardien,1.0,2020,fc-malaga
Défense,2.0,2020,fc-malaga
Milieu,2.0,2020,fc-malaga
Attaquant,1.5,2020,fc-malaga
Total,2.0,2020,fc-malaga
Gardien,7.5,2014,espanyol-barcelona
Défense,7.0,2014,espanyol-barcelona
Milieu,7.0,2014,espanyol-barcelona
Attaquant,6.0,2014,espanyol-barcelona
Total,7.5,2014,espanyol-barcelona
Gardien,4.0,2015,espanyol-barcelona
Défense,4.0,2015,espanyol-barcelona
Milieu,3.5,2015,espanyol-barcelona
Attaquant,8.0,2015,espanyol-barcelona
Total,8.0,2015,espanyol-barcelona
Gardien,2.0,2016,espanyol-barcelona
Défense,10.0,2016,espanyol-barcelona
Milieu,6.5,2016,espanyol-barcelona
Attaquant,8.0,2016,espanyol-barcelona
Total,10.0,2016,espanyol-barcelona
Gardien,5.0,2017,espanyol-barcelona
Défense,12.0,2017,espanyol-barcelona
Milieu,11.0,2017,espanyol-barcelona
Attaquant,20.0,2017,espanyol-barcelona
Total,20.0,2017,espanyol-barcelona
Gardien,1.5,2018,espanyol-barcelona
Défense,25.0,2018,espanyol-barcelona
Milieu,30.0,2018,espanyol-barcelona
Attaquant,28.0,2018,espanyol-barcelona
Total,30.0,2018,espanyol-barcelona
Gardien,1.6,2019,espanyol-barcelona
Défense,9.0,2019,espanyol-barcelona
Milieu,16.0,2019,espanyol-barcelona
Attaquant,16.0,2019,espanyol-barcelona
Total,16.0,2019,espanyol-barcelona
Gardien,0.5,2020,espanyol-barcelona
Défense,5.0,2020,espanyol-barcelona
Milieu,10.0,2020,espanyol-barcelona
Attaquant,10.0,2020,espanyol-barcelona
Total,10.0,2020,espanyol-barcelona
Gardien,0.8,2014,rayo-vallecano
Défense,4.0,2014,rayo-vallecano
Milieu,3.5,2014,rayo-vallecano
Attaquant,5.0,2014,rayo-vallecano
Total,6.0,2014,rayo-vallecano
Gardien,1.5,2015,rayo-vallecano
Défense,3.0,2015,rayo-vallecano
Milieu,5.0,2015,rayo-vallecano
Attaquant,2.5,2015,rayo-vallecano
Total,5.0,2015,rayo-vallecano
Gardien,1.0,2016,rayo-vallecano
Défense,1.0,2016,rayo-vallecano
Milieu,1.5,2016,rayo-vallecano
Attaquant,1.5,2016,rayo-vallecano
Total,1.5,2016,rayo-vallecano
Gardien,0.5,2017,rayo-vallecano
Défense,3.0,2017,rayo-vallecano
Milieu,2.0,2017,rayo-vallecano
Attaquant,3.0,2017,rayo-vallecano
Total,3.0,2017,rayo-vallecano
Gardien,3.0,2018,rayo-vallecano
Défense,12.0,2018,rayo-vallecano
Milieu,5.0,2018,rayo-vallecano
Attaquant,20.0,2018,rayo-vallecano
Total,20.0,2018,rayo-vallecano
Gardien,2.4,2019,rayo-vallecano
Défense,2.0,2019,rayo-vallecano
Milieu,2.8,2019,rayo-vallecano
Attaquant,5.5,2019,rayo-vallecano
Total,5.5,2019,rayo-vallecano
Gardien,1.2,2020,rayo-vallecano
Défense,3.0,2020,rayo-vallecano
Milieu,2.5,2020,rayo-vallecano
Attaquant,2.4,2020,rayo-vallecano
Total,3.0,2020,rayo-vallecano
Gardien,3.5,2014,real-sociedad-san-sebastian
Défense,12.0,2014,real-sociedad-san-sebastian
Milieu,7.0,2014,real-sociedad-san-sebastian
Attaquant,18.0,2014,real-sociedad-san-sebastian
Total,18.0,2014,real-sociedad-san-sebastian
Gardien,6.0,2015,real-sociedad-san-sebastian
Défense,15.0,2015,real-sociedad-san-sebastian
Milieu,15.0,2015,real-sociedad-san-sebastian
Attaquant,15.0,2015,real-sociedad-san-sebastian
Total,15.0,2015,real-sociedad-san-sebastian
Gardien,14.0,2016,real-sociedad-san-sebastian
Défense,20.0,2016,real-sociedad-san-sebastian
Milieu,15.0,2016,real-sociedad-san-sebastian
Attaquant,15.0,2016,real-sociedad-san-sebastian
Total,20.0,2016,real-sociedad-san-sebastian
Gardien,10.0,2017,real-sociedad-san-sebastian
Défense,32.0,2017,real-sociedad-san-sebastian
Milieu,20.0,2017,real-sociedad-san-sebastian
Attaquant,35.0,2017,real-sociedad-san-sebastian
Total,35.0,2017,real-sociedad-san-sebastian
Gardien,10.0,2018,real-sociedad-san-sebastian
Défense,25.0,2018,real-sociedad-san-sebastian
Milieu,30.0,2018,real-sociedad-san-sebastian
Attaquant,50.0,2018,real-sociedad-san-sebastian
Total,50.0,2018,real-sociedad-san-sebastian
Gardien,12.0,2019,real-sociedad-san-sebastian
Défense,20.0,2019,real-sociedad-san-sebastian
Milieu,45.0,2019,real-sociedad-san-sebastian
Attaquant,48.0,2019,real-sociedad-san-sebastian
Total,48.0,2019,real-sociedad-san-sebastian
Gardien,20.0,2020,real-sociedad-san-sebastian
Défense,22.0,2020,real-sociedad-san-sebastian
Milieu,40.0,2020,real-sociedad-san-sebastian
Attaquant,70.0,2020,real-sociedad-san-sebastian
Total,70.0,2020,real-sociedad-san-sebastian
Gardien,2.5,2014,fc-elche
Défense,3.0,2014,fc-elche
Milieu,3.0,2014,fc-elche
Attaquant,6.0,2014,fc-elche
Total,6.0,2014,fc-elche
Gardien,1.0,2015,fc-elche
Défense,1.0,2015,fc-elche
Milieu,2.5,2015,fc-elche
Attaquant,0.8,2015,fc-elche
Total,2.5,2015,fc-elche
Gardien,0.8,2016,fc-elche
Défense,0.8,2016,fc-elche
Milieu,0.7,2016,fc-elche
Attaquant,0.7,2016,fc-elche
Total,0.8,2016,fc-elche
Gardien,0.1,2017,fc-elche
Défense,0.3,2017,fc-elche
Milieu,0.3,2017,fc-elche
Attaquant,0.3,2017,fc-elche
Total,0.3,2017,fc-elche
Gardien,0.8,2018,fc-elche
Défense,0.8,2018,fc-elche
Milieu,0.8,2018,fc-elche
Attaquant,2.0,2018,fc-elche
Total,2.0,2018,fc-elche
Gardien,0.8,2019,fc-elche
Défense,0.65,2019,fc-elche
Milieu,2.7,2019,fc-elche
Attaquant,1.6,2019,fc-elche
Total,2.7,2019,fc-elche
Gardien,3.0,2020,fc-elche
Défense,2.5,2020,fc-elche
Milieu,5.0,2020,fc-elche
Attaquant,3.5,2020,fc-elche
Total,5.0,2020,fc-elche
Gardien,3.0,2014,fc-getafe
Défense,3.0,2014,fc-getafe
Milieu,2.5,2014,fc-getafe
Attaquant,6.0,2014,fc-getafe
Total,6.0,2014,fc-getafe
Gardien,2.0,2015,fc-getafe
Défense,2.5,2015,fc-getafe
Milieu,2.5,2015,fc-getafe
Attaquant,5.0,2015,fc-getafe
Total,5.0,2015,fc-getafe
Gardien,1.8,2016,fc-getafe
Défense,2.5,2016,fc-getafe
Milieu,1.5,2016,fc-getafe
Attaquant,1.5,2016,fc-getafe
Total,2.5,2016,fc-getafe
Gardien,5.0,2017,fc-getafe
Défense,15.0,2017,fc-getafe
Milieu,3.0,2017,fc-getafe
Attaquant,6.0,2017,fc-getafe
Total,15.0,2017,fc-getafe
Gardien,15.0,2018,fc-getafe
Défense,25.0,2018,fc-getafe
Milieu,15.0,2018,fc-getafe
Attaquant,10.0,2018,fc-getafe
Total,25.0,2018,fc-getafe
Gardien,14.5,2019,fc-getafe
Défense,24.0,2019,fc-getafe
Milieu,20.0,2019,fc-getafe
Attaquant,8.0,2019,fc-getafe
Total,24.0,2019,fc-getafe
Gardien,9.0,2020,fc-getafe
