Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Attaquant,"26,75",56.2,7.03,2017,athletic bilbao
Total,"24,94",249.4,7.56,2017,athletic bilbao
Gardien,"23,75",11.7,2.93,2018,athletic bilbao
Défense,"25,73",108.25,9.84,2018,athletic bilbao
Milieu de terrain,"26,78",44.3,4.92,2018,athletic bilbao
Attaquant,"26,20",76.0,7.6,2018,athletic bilbao
Total,"25,91",240.25,7.07,2018,athletic bilbao
Gardien,"23,75",19.15,4.79,2019,athletic bilbao
Défense,"25,09",94.5,8.59,2019,athletic bilbao
Milieu de terrain,"25,38",34.9,4.36,2019,athletic bilbao
Attaquant,"26,22",63.2,7.02,2019,athletic bilbao
Total,"25,31",211.75,6.62,2019,athletic bilbao
Gardien,"26,00",21.3,7.1,2020,athletic bilbao
Défense,"27,22",82.9,9.21,2020,athletic bilbao
Milieu de terrain,"22,90",41.25,4.13,2020,athletic bilbao
Attaquant,"24,40",58.2,5.82,2020,athletic bilbao
Total,"24,88",203.65,6.36,2020,athletic bilbao
Gardien,"22,50",3.5,1.75,2014,celta vigo
Défense,"21,40",19.0,1.9,2014,celta vigo
Milieu de terrain,"24,56",18.9,2.1,2014,celta vigo
Attaquant,"24,43",19.0,2.71,2014,celta vigo
Total,"23,25",60.4,2.16,2014,celta vigo
Gardien,"23,33",4.5,1.5,2015,celta vigo
Défense,"23,22",29.5,3.28,2015,celta vigo
Milieu de terrain,"23,63",17.8,2.23,2015,celta vigo
Attaquant,"24,25",39.3,4.91,2015,celta vigo
Total,"23,64",91.1,3.25,2015,celta vigo
Gardien,"22,33",6.8,2.27,2016,celta vigo
Défense,"25,20",46.5,4.65,2016,celta vigo
Milieu de terrain,"24,56",24.3,2.7,2016,celta vigo
Attaquant,"24,50",46.9,4.69,2016,celta vigo
Total,"24,53",124.5,3.89,2016,celta vigo
Gardien,"22,40",5.5,1.1,2017,celta vigo
Défense,"24,90",56.85,5.69,2017,celta vigo
Milieu de terrain,"23,57",32.55,4.65,2017,celta vigo
Attaquant,"22,60",78.15,7.82,2017,celta vigo
Total,"23,50",173.05,5.41,2017,celta vigo
Gardien,"24,33",5.3,1.77,2018,celta vigo
Défense,"25,82",50.8,4.62,2018,celta vigo
Milieu de terrain,"23,56",89.5,9.94,2018,celta vigo
Attaquant,"23,70",94.5,9.45,2018,celta vigo
Total,"24,42",240.1,7.28,2018,celta vigo
Gardien,"22,50",10.0,1.67,2019,celta vigo
Défense,"23,91",34.15,3.1,2019,celta vigo
Milieu de terrain,"23,44",75.4,8.38,2019,celta vigo
Attaquant,"25,22",47.45,5.27,2019,celta vigo
Total,"23,89",167.0,4.77,2019,celta vigo
Gardien,"22,57",8.6,1.23,2020,celta vigo
Défense,"23,60",40.4,2.69,2020,celta vigo
Milieu de terrain,"22,25",69.2,8.65,2020,celta vigo
Attaquant,"24,18",34.15,3.1,2020,celta vigo
Total,"23,32",152.35,3.72,2020,celta vigo
Gardien,"27,33",8.5,2.83,2014, malaga
Défense,"27,18",21.8,1.98,2014, malaga
Milieu de terrain,"24,14",24.0,3.43,2014, malaga
Attaquant,"24,33",28.5,3.17,2014, malaga
Total,"25,63",82.8,2.76,2014, malaga
Gardien,"26,33",8.0,2.67,2015, malaga
Défense,"27,18",16.0,1.45,2015, malaga
Milieu de terrain,"24,33",31.75,3.53,2015, malaga
Attaquant,"26,00",22.2,2.22,2015, malaga
Total,"25,97",77.95,2.36,2015, malaga
Gardien,"26,67",3.2,1.07,2016, malaga
Défense,"27,50",25.0,2.5,2016, malaga
Milieu de terrain,"24,63",28.1,3.51,2016, malaga
Attaquant,"22,45",28.0,2.55,2016, malaga
Total,"24,97",84.3,2.63,2016, malaga
Gardien,"27,67",2.6,0.867,2017, malaga
Défense,"24,54",15.3,1.18,2017, malaga
Milieu de terrain,"25,00",11.2,1.12,2017, malaga
Attaquant,"24,14",26.1,1.86,2017, malaga
Total,"24,75",55.2,1.38,2017, malaga
Gardien,"27,80",2.4,0.48,2018, malaga
Défense,"25,73",15.35,1.4,2018, malaga
Milieu de terrain,"26,60",13.85,1.39,2018, malaga
Attaquant,"23,23",15.8,1.22,2018, malaga
Total,"25,38",47.4,1.22,2018, malaga
Gardien,"23,00",1.05,0.35,2019, malaga
Défense,"25,00",5.33,0.592,2019, malaga
Milieu de terrain,"22,45",6.6,0.6,2019, malaga
Attaquant,"22,79",7.08,0.505,2019, malaga
Total,"23,24",20.05,0.542,2019, malaga
Gardien,"22,40",1.4,0.28,2020, malaga
Défense,"22,54",6.4,0.492,2020, malaga
Milieu de terrain,"23,08",6.88,0.529,2020, malaga
Attaquant,"22,59",5.6,0.329,2020, malaga
Total,"22,69",20.28,0.422,2020, malaga
Gardien,"22,00",7.8,2.6,2014,espanyol barcelona
Défense,"24,23",27.5,2.12,2014,espanyol barcelona
Milieu de terrain,"24,63",18.7,2.34,2014,espanyol barcelona
Attaquant,"26,14",21.5,3.07,2014,espanyol barcelona
Total,"24,55",75.5,2.44,2014,espanyol barcelona
Gardien,"22,75",7.0,1.75,2015,espanyol barcelona
Défense,"23,64",21.9,1.56,2015,espanyol barcelona
Milieu de terrain,"27,33",12.3,2.05,2015,espanyol barcelona
Attaquant,"23,00",21.0,2.33,2015,espanyol barcelona
Total,"24,03",62.2,1.88,2015,espanyol barcelona
Gardien,"26,75",4.8,1.2,2016,espanyol barcelona
Défense,"25,27",30.2,2.75,2016,espanyol barcelona
Milieu de terrain,"27,25",20.5,2.56,2016,espanyol barcelona
Attaquant,"24,83",31.0,2.58,2016,espanyol barcelona
Total,"25,74",86.5,2.47,2016,espanyol barcelona
Gardien,"23,25",5.5,1.38,2017,espanyol barcelona
Défense,"26,13",24.0,3.0,2017,espanyol barcelona
Milieu de terrain,"28,22",31.3,3.48,2017,espanyol barcelona
Attaquant,"25,88",37.0,4.63,2017,espanyol barcelona
Total,"26,31",97.8,3.37,2017,espanyol barcelona
Gardien,"34,00",2.5,1.25,2018,espanyol barcelona
Défense,"25,00",66.3,6.03,2018,espanyol barcelona
Milieu de terrain,"24,86",61.4,8.77,2018,espanyol barcelona
