id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
4074,Kalu Uche,16,872,5,5.0533,2,1.777,25,11,1,0,F S,Levante,5,5.0533,6.719,0.4315,2014
48,Jhon Córdoba,26,1407,4,4.8475,0,0.3745,30,10,7,0,F S,Granada,4,4.8475,6.0835,1.0064,2014
1699,Shkodran Mustafi,33,2917,4,1.6249,0,0.1536,19,3,8,0,D,Valencia,4,1.6249,6.8157,6.7338,2014
2088,Edgar Méndez,30,1916,4,2.1989,1,0.6626,43,12,6,0,F M S,Almeria,4,2.1989,4.6605,2.2747,2014
2103,Aleix Vidal,31,2155,4,3.7543,5,5.1368,19,30,8,0,D F M S,Sevilla,4,3.7543,12.9966,6.0367,2014
2180,Verza,33,2853,4,3.4045,3,3.1396,19,45,10,0,M,Almeria,1,0.4313,5.3966,4.8855,2014
2198,Moi Gómez,31,1614,4,3.4881,4,4.5094,28,29,6,0,M S,Villarreal,4,3.4881,8.7737,2.8393,2014
2201,Yoda,18,1034,4,1.9979,1,0.6232,27,13,0,0,M S,Getafe,4,1.9979,3.0886,0.5874,2014
2233,Xabi Prieto,35,2988,4,3.224,6,4.7633,32,49,5,0,M S,Real Sociedad,2,1.7375,9.6107,6.4411,2014
2246,Sergio Ramos,27,2257,4,3.9868,1,0.5361,28,8,12,0,D M,Real Madrid,4,3.9868,11.6519,10.293,2014
2255,Isco,34,2348,4,4.3838,9,6.7616,44,54,5,1,M S,Real Madrid,4,4.3838,23.4932,16.2014,2014
2266,Saúl Ñíguez,24,1052,4,2.1933,2,2.4341,17,10,1,0,M S,Atletico Madrid,4,2.1933,3.791,1.6917,2014
2318,Fede Cartabia,30,2168,4,3.153,5,3.9454,61,43,9,2,F M S,Cordoba,4,2.4097,8.477,5.2118,2014
2323,Oriol Riera,21,1515,4,5.4601,1,1.8133,51,19,3,0,F S,Deportivo La Coruna,4,5.4601,6.9112,1.278,2014
2328,Thomas Partey,31,2372,4,2.9417,0,0.458,32,11,13,0,F M S,Almeria,4,2.9417,5.1534,2.9702,2014
2342,Gonzalo Castro,32,1837,4,1.8244,4,4.1482,41,36,2,0,F M S,Real Sociedad,4,1.8244,7.0978,2.7671,2014
2383,André Gomes,33,2562,4,3.3489,1,2.5672,38,25,8,1,M S,Valencia,4,3.3489,13.1271,8.466,2014
2471,Víctor Rodríguez,36,2894,4,4.1054,2,3.7808,39,40,5,0,F M S,Elche,4,4.1054,10.4223,4.8594,2014
2494,Denis Cheryshev,26,1698,4,5.4304,9,7.2966,65,34,7,0,F M S,Villarreal,4,5.4304,12.955,3.2422,2014
2554,Thievy,29,1787,4,5.2627,1,1.3545,32,15,6,1,F M S,Almeria,4,5.2627,6.6257,0.7524,2014
2571,Sergio Canales,36,2564,4,4.2531,3,1.96,56,32,3,0,F M S,Real Sociedad,4,4.2531,8.2013,3.5191,2014
2621,Sergi Darder,34,2776,4,4.8296,0,2.1648,60,24,10,1,M S,Malaga,4,4.8296,9.3848,3.9139,2014
4096,Stéphane Mbia,23,1461,4,3.1053,0,0.2528,23,6,9,0,M S,Sevilla,4,3.1053,6.4821,5.0029,2014
4129,Toché,25,979,4,4.2084,1,0.3958,20,4,5,0,F S,Deportivo La Coruna,4,4.2084,4.164,0.0878,2014
1134,Mario Pasalic,31,2205,3,4.4472,0,1.396,30,11,5,0,M S,Elche,3,4.4472,8.9906,5.3099,2014
1507,Miranda,23,2027,3,1.1392,2,0.7547,6,6,8,1,D,Atletico Madrid,3,1.1392,2.9638,2.7681,2014
1520,Éver Banega,34,2194,3,1.9301,3,5.1563,35,43,11,0,M S,Sevilla,3,1.9301,11.369,8.1814,2014
2084,Fran Rico,31,2547,3,2.6029,1,1.8934,20,40,13,0,M S,Granada,1,1.1164,5.761,4.5521,2014
2113,Víctor Sánchez,34,2576,3,2.3968,3,1.6414,23,18,16,0,M S,Espanyol,3,2.3968,6.7224,4.6692,2014
2125,Ander Capa,34,2422,3,2.8578,1,2.2413,33,20,6,0,F M S,Eibar,3,2.8578,6.4799,1.7028,2014
2134,Saúl Berjón,34,2414,3,3.441,7,5.985,55,43,4,0,F M S,Eibar,3,3.441,8.0642,1.7722,2014
