Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Total,"24,76",90.93,2.46,2019,west bromwich albion
Gardien,"28,80",9.75,1.95,2020,west bromwich albion
Défense,"25,54",26.9,2.07,2020,west bromwich albion
Milieu de terrain,"22,08",51.5,4.29,2020,west bromwich albion
Attaquant,"26,15",54.0,4.15,2020,west bromwich albion
Total,"25,14",142.15,3.31,2020,west bromwich albion
Gardien,"28,60",5.25,1.05,2014,leicester city
Défense,"28,20",15.75,1.58,2014,leicester city
Milieu de terrain,"24,00",17.6,1.47,2014,leicester city
Attaquant,"24,60",28.1,2.81,2014,leicester city
Total,"25,92",66.7,1.8,2014,leicester city
Gardien,"29,25",6.0,1.5,2015,leicester city
Défense,"27,36",32.0,2.91,2015,leicester city
Milieu de terrain,"26,00",48.5,6.06,2015,leicester city
Attaquant,"23,25",74.6,6.22,2015,leicester city
Total,"25,86",161.1,4.6,2015,leicester city
Gardien,"28,00",17.5,5.83,2016,leicester city
Défense,"27,09",32.05,2.91,2016,leicester city
Milieu de terrain,"22,89",57.6,6.4,2016,leicester city
Attaquant,"25,75",111.5,13.94,2016,leicester city
Total,"25,61",218.65,7.05,2016,leicester city
Gardien,"30,33",11.5,3.83,2017,leicester city
Défense,"26,09",64.5,5.86,2017,leicester city
Milieu de terrain,"23,45",76.25,6.93,2017,leicester city
Attaquant,"25,78",152.0,16.89,2017,leicester city
Total,"25,53",304.25,8.95,2017,leicester city
Gardien,"29,67",20.75,6.92,2018,leicester city
Défense,"25,42",161.75,13.48,2018,leicester city
Milieu de terrain,"23,64",177.1,12.65,2018,leicester city
Attaquant,"26,88",74.5,9.31,2018,leicester city
Total,"25,41",434.1,11.73,2018,leicester city
Gardien,"30,67",16.6,5.53,2019,leicester city
Défense,"25,17",138.9,11.58,2019,leicester city
Milieu de terrain,"23,33",188.65,15.72,2019,leicester city
Attaquant,"24,40",66.95,13.39,2019,leicester city
Total,"24,88",411.1,12.85,2019,leicester city
Gardien,"28,50",12.3,3.08,2020,leicester city
Défense,"23,93",179.0,11.93,2020,leicester city
Milieu de terrain,"22,93",245.4,17.53,2020,leicester city
Attaquant,"25,29",74.0,10.57,2020,leicester city
Total,"24,28",510.7,12.77,2020,leicester city
Gardien,"23,00",13.5,2.7,2014,newcastle united
Défense,"23,46",30.5,2.35,2014,newcastle united
Milieu de terrain,"24,08",65.5,5.04,2014,newcastle united
Attaquant,"20,73",30.5,2.77,2014,newcastle united
Total,"22,88",140.0,3.33,2014,newcastle united
Gardien,"24,50",12.25,3.06,2015,newcastle united
Défense,"23,15",31.25,2.4,2015,newcastle united
Milieu de terrain,"25,00",81.75,6.29,2015,newcastle united
Attaquant,"22,42",72.75,6.06,2015,newcastle united
Total,"23,64",198.0,4.71,2015,newcastle united
Gardien,"25,20",15.0,3.0,2016,newcastle united
Défense,"23,31",53.93,3.37,2016,newcastle united
Milieu de terrain,"22,80",44.0,4.4,2016,newcastle united
Attaquant,"23,15",59.75,4.6,2016,newcastle united
Total,"23,36",172.68,3.92,2016,newcastle united
Gardien,"26,25",10.5,2.63,2017,newcastle united
Défense,"24,53",72.58,4.84,2017,newcastle united
Milieu de terrain,"24,00",52.5,6.56,2017,newcastle united
Attaquant,"23,70",72.7,7.27,2017,newcastle united
Total,"24,38",208.28,5.63,2017,newcastle united
Gardien,"25,60",12.0,2.4,2018,newcastle united
Défense,"24,50",82.08,5.86,2018,newcastle united
Milieu de terrain,"25,56",75.0,8.33,2018,newcastle united
Attaquant,"25,00",75.58,8.4,2018,newcastle united
Total,"25,03",244.65,6.61,2018,newcastle united
Gardien,"30,33",8.5,2.83,2019,newcastle united
Défense,"25,31",93.68,5.85,2019,newcastle united
