Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Attaquant,"23,17",4.55,0.379,2015,sheffield united
Total,"23,43",14.08,0.32,2015,sheffield united
Gardien,"20,75",1.0,0.25,2016,sheffield united
Défense,"23,24",4.58,0.269,2016,sheffield united
Milieu de terrain,"21,75",2.88,0.24,2016,sheffield united
Attaquant,"22,80",7.65,0.765,2016,sheffield united
Total,"22,49",16.1,0.374,2016,sheffield united
Gardien,"23,25",1.0,0.25,2017,sheffield united
Défense,"25,14",7.1,0.507,2017,sheffield united
Milieu de terrain,"23,78",5.15,0.572,2017,sheffield united
Attaquant,"26,90",10.75,1.08,2017,sheffield united
Total,"25,08",24.0,0.649,2017,sheffield united
Gardien,"23,33",2.95,0.983,2018,sheffield united
Défense,"26,31",21.6,1.66,2018,sheffield united
Milieu de terrain,"25,18",23.1,2.1,2018,sheffield united
Attaquant,"26,58",14.1,1.18,2018,sheffield united
Total,"25,85",61.75,1.58,2018,sheffield united
Gardien,"23,75",15.8,3.95,2019,sheffield united
Défense,"26,75",45.15,3.76,2019,sheffield united
Milieu de terrain,"25,78",50.0,5.56,2019,sheffield united
Attaquant,"27,33",27.65,3.07,2019,sheffield united
Total,"26,29",138.6,4.08,2019,sheffield united
Gardien,"25,40",13.8,2.76,2020,sheffield united
Défense,"24,13",55.7,3.71,2020,sheffield united
Milieu de terrain,"23,73",40.25,3.66,2020,sheffield united
Attaquant,"22,78",40.1,4.46,2020,sheffield united
Total,"23,88",149.85,3.75,2020,sheffield united
Gardien,"25,67",0.85,0.283,2014,leeds united
Défense,"23,77",12.3,0.946,2014,leeds united
Milieu de terrain,"22,46",9.85,0.758,2014,leeds united
Attaquant,"24,64",7.2,0.655,2014,leeds united
Total,"23,73",30.2,0.755,2014,leeds united
Gardien,"22,40",1.1,0.22,2015,leeds united
Défense,"23,56",11.55,1.28,2015,leeds united
Milieu de terrain,"22,40",11.75,1.18,2015,leeds united
Attaquant,"23,11",9.85,1.09,2015,leeds united
Total,"22,91",34.25,1.04,2015,leeds united
Gardien,"27,75",1.45,0.363,2016,leeds united
Défense,"23,29",20.55,1.47,2016,leeds united
Milieu de terrain,"23,60",11.8,1.18,2016,leeds united
Attaquant,"22,56",16.65,1.85,2016,leeds united
Total,"23,68",50.45,1.36,2016,leeds united
Gardien,"29,25",2.7,0.675,2017,leeds united
Défense,"22,43",20.6,1.47,2017,leeds united
Milieu de terrain,"23,06",23.6,1.39,2017,leeds united
Attaquant,"21,69",36.0,2.77,2017,leeds united
Total,"23,02",82.9,1.73,2017,leeds united
Gardien,"23,20",5.2,1.04,2018,leeds united
Défense,"23,31",25.85,1.62,2018,leeds united
Milieu de terrain,"22,94",28.05,1.75,2018,leeds united
Attaquant,"21,42",35.35,2.95,2018,leeds united
Total,"22,71",94.45,1.93,2018,leeds united
Gardien,"22,00",6.8,1.36,2019,leeds united
Défense,"24,09",21.8,1.98,2019,leeds united
Milieu de terrain,"23,18",22.38,2.03,2019,leeds united
Attaquant,"21,38",49.88,6.23,2019,leeds united
Total,"22,89",100.85,2.88,2019,leeds united
Gardien,"23,67",21.0,7.0,2020,leeds united
Défense,"24,00",70.25,5.02,2020,leeds united
Milieu de terrain,"24,08",41.35,3.45,2020,leeds united
Attaquant,"22,20",105.5,10.55,2020,leeds united
Total,"23,54",238.1,6.11,2020,leeds united
