Position,Valeur maximum,Years,Crew
Attaquant,15.0,2017,swansea-city
Total,20.0,2017,swansea-city
Gardien,1.5,2018,swansea-city
Défense,7.0,2018,swansea-city
Milieu,6.0,2018,swansea-city
Attaquant,12.0,2018,swansea-city
Total,12.0,2018,swansea-city
Gardien,3.2,2019,swansea-city
Défense,3.2,2019,swansea-city
Milieu,5.4,2019,swansea-city
Attaquant,5.4,2019,swansea-city
Total,5.4,2019,swansea-city
Gardien,10.0,2020,swansea-city
Défense,10.0,2020,swansea-city
Milieu,7.0,2020,swansea-city
Attaquant,5.0,2020,swansea-city
Total,10.0,2020,swansea-city
Gardien,13.0,2014,stoke-city
Défense,9.0,2014,stoke-city
Milieu,6.5,2014,stoke-city
Attaquant,9.0,2014,stoke-city
Total,13.0,2014,stoke-city
Gardien,9.0,2015,stoke-city
Défense,11.0,2015,stoke-city
Milieu,18.0,2015,stoke-city
Attaquant,15.0,2015,stoke-city
Total,18.0,2015,stoke-city
Gardien,15.0,2016,stoke-city
Défense,11.0,2016,stoke-city
Milieu,15.0,2016,stoke-city
Attaquant,18.0,2016,stoke-city
Total,18.0,2016,stoke-city
Gardien,22.0,2017,stoke-city
Défense,15.0,2017,stoke-city
Milieu,18.0,2017,stoke-city
Attaquant,18.0,2017,stoke-city
Total,22.0,2017,stoke-city
Gardien,15.0,2018,stoke-city
Défense,6.5,2018,stoke-city
Milieu,10.0,2018,stoke-city
Attaquant,8.0,2018,stoke-city
Total,15.0,2018,stoke-city
Gardien,6.5,2019,stoke-city
Défense,3.5,2019,stoke-city
Milieu,6.8,2019,stoke-city
Attaquant,6.5,2019,stoke-city
Total,6.8,2019,stoke-city
Gardien,3.0,2020,stoke-city
Défense,4.0,2020,stoke-city
Milieu,4.0,2020,stoke-city
Attaquant,6.0,2020,stoke-city
Total,6.0,2020,stoke-city
Gardien,2.0,2014,crystal-palace
Défense,5.0,2014,crystal-palace
Milieu,7.0,2014,crystal-palace
Attaquant,6.0,2014,crystal-palace
Total,7.0,2014,crystal-palace
Gardien,3.5,2015,crystal-palace
Défense,6.0,2015,crystal-palace
Milieu,18.0,2015,crystal-palace
Attaquant,12.0,2015,crystal-palace
Total,18.0,2015,crystal-palace
Gardien,8.0,2016,crystal-palace
Défense,15.0,2016,crystal-palace
Milieu,15.0,2016,crystal-palace
Attaquant,28.0,2016,crystal-palace
Total,28.0,2016,crystal-palace
Gardien,4.0,2017,crystal-palace
Défense,15.0,2017,crystal-palace
Milieu,15.0,2017,crystal-palace
Attaquant,30.0,2017,crystal-palace
Total,30.0,2017,crystal-palace
Gardien,5.0,2018,crystal-palace
Défense,35.0,2018,crystal-palace
Milieu,20.0,2018,crystal-palace
Attaquant,45.0,2018,crystal-palace
Total,45.0,2018,crystal-palace
Gardien,4.0,2019,crystal-palace
Défense,9.5,2019,crystal-palace
Milieu,20.0,2019,crystal-palace
Attaquant,44.0,2019,crystal-palace
Total,44.0,2019,crystal-palace
Gardien,2.0,2020,crystal-palace
Défense,7.0,2020,crystal-palace
Milieu,20.0,2020,crystal-palace
Attaquant,45.0,2020,crystal-palace
Total,45.0,2020,crystal-palace
Gardien,3.0,2014,fc-everton
Défense,18.0,2014,fc-everton
Milieu,17.0,2014,fc-everton
Attaquant,30.0,2014,fc-everton
Total,30.0,2014,fc-everton
Gardien,3.0,2015,fc-everton
Défense,28.0,2015,fc-everton
Milieu,22.0,2015,fc-everton
Attaquant,40.0,2015,fc-everton
Total,40.0,2015,fc-everton
Gardien,5.0,2016,fc-everton
Défense,17.0,2016,fc-everton
Milieu,25.0,2016,fc-everton
Attaquant,50.0,2016,fc-everton
Total,50.0,2016,fc-everton
Gardien,30.0,2017,fc-everton
Défense,20.0,2017,fc-everton
Milieu,30.0,2017,fc-everton
Attaquant,23.0,2017,fc-everton
Total,30.0,2017,fc-everton
Gardien,40.0,2018,fc-everton
Défense,30.0,2018,fc-everton
Milieu,35.0,2018,fc-everton
Attaquant,50.0,2018,fc-everton
Total,50.0,2018,fc-everton
Gardien,28.0,2019,fc-everton
Défense,28.0,2019,fc-everton
Milieu,22.5,2019,fc-everton
Attaquant,52.0,2019,fc-everton
Total,52.0,2019,fc-everton
Gardien,22.0,2020,fc-everton
Défense,35.0,2020,fc-everton
Milieu,28.0,2020,fc-everton
Attaquant,55.0,2020,fc-everton
Total,55.0,2020,fc-everton
Gardien,5.0,2014,west-ham-united
Défense,9.0,2014,west-ham-united
Milieu,15.0,2014,west-ham-united
Attaquant,10.0,2014,west-ham-united
Total,15.0,2014,west-ham-united
Gardien,7.0,2015,west-ham-united
Défense,11.0,2015,west-ham-united
Milieu,23.0,2015,west-ham-united
Attaquant,11.0,2015,west-ham-united
Total,23.0,2015,west-ham-united
Gardien,8.0,2016,west-ham-united
Défense,12.0,2016,west-ham-united
Milieu,26.0,2016,west-ham-united
Attaquant,18.0,2016,west-ham-united
Total,26.0,2016,west-ham-united
Gardien,10.0,2017,west-ham-united
Défense,12.0,2017,west-ham-united
Milieu,25.0,2017,west-ham-united
Attaquant,25.0,2017,west-ham-united
Total,25.0,2017,west-ham-united
Gardien,5.0,2018,west-ham-united
Défense,35.0,2018,west-ham-united
Milieu,45.0,2018,west-ham-united
Attaquant,40.0,2018,west-ham-united
Total,45.0,2018,west-ham-united
Gardien,3.2,2019,west-ham-united
Défense,28.0,2019,west-ham-united
Milieu,49.5,2019,west-ham-united
Attaquant,36.0,2019,west-ham-united
Total,49.5,2019,west-ham-united
Gardien,1.5,2020,west-ham-united
Défense,18.0,2020,west-ham-united
Milieu,65.0,2020,west-ham-united
Attaquant,30.0,2020,west-ham-united
Total,65.0,2020,west-ham-united
Gardien,4.0,2014,west-bromwich-albion
Défense,6.0,2014,west-bromwich-albion
Milieu,5.0,2014,west-bromwich-albion
Attaquant,12.0,2014,west-bromwich-albion
Total,12.0,2014,west-bromwich-albion
Gardien,4.0,2015,west-bromwich-albion
Défense,6.0,2015,west-bromwich-albion
Milieu,5.0,2015,west-bromwich-albion
Attaquant,15.0,2015,west-bromwich-albion
Total,15.0,2015,west-bromwich-albion
Gardien,4.0,2016,west-bromwich-albion
Défense,7.0,2016,west-bromwich-albion
Milieu,7.0,2016,west-bromwich-albion
Attaquant,15.0,2016,west-bromwich-albion
Total,15.0,2016,west-bromwich-albion
Gardien,3.0,2017,west-bromwich-albion
Défense,15.0,2017,west-bromwich-albion
