Rank,Team,Years,PTS,Win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
10,Crystal Palace,2014,48,0.342,47,51,44.76,45.48,97,30.7,17.562,0.9633979999999999,0.9527693333333332
15,Crystal Palace,2015,42,0.289,39,51,42.51,52.94,135,49.2,21.125,0.9974718749999999,0.9944372727272729
14,Crystal Palace,2016,41,0.316,50,63,45.4,50.03,228,88.4,37.75,0.9852768749999999,1.0151981818181819
11,Crystal Palace,2017,44,0.289,45,55,56.75,53.54,220,75.7,41.812,0.990528947368421,1.0069088888888889
12,Crystal Palace,2018,49,0.368,51,53,50.64,52.8,289,106.9,61.938,1.0030894444444447,0.9767772727272729
14,Crystal Palace,2019,43,0.289,31,50,34.45,57.39,189,74.0,31.5,0.9557445454545452,0.9922974999999998
14,Crystal Palace,2020,44,0.316,41,66,35.29,61.9,193,79.5,30.688,0.9574126315789474,0.96238625
11,Everton,2014,47,0.316,48,50,44.89,46.18,185,66.1,39.062,1.002824,1.021188666666667
11,Everton,2015,47,0.289,59,55,53.98,54.75,249,83.6,58.75,1.0387393333333335,1.0160585714285715
7,Everton,2016,61,0.447,62,44,49.63,45.78,311,119.2,47.375,1.0042845,1.0414615384615384
8,Everton,2017,49,0.342,44,58,43.71,55.5,381,116.5,68.938,1.0248405882352942,0.9729466666666666
8,Everton,2018,54,0.395,54,46,53.87,49.31,529,163.3,107.812,1.0243663157894736,0.9967279999999998
12,Everton,2019,49,0.342,44,56,53.71,49.21,420,150.8,75.0,0.9969584210526315,1.0051428571428571
10,Everton,2020,59,0.447,47,48,49.24,50.16,511,169.9,101.312,0.9928740000000001,1.0227954545454543
12,West Ham,2014,47,0.316,44,47,46.69,57.4,135,38.7,30.312,1.0070493749999998,0.9588378571428572
7,West Ham,2015,62,0.421,65,51,54.4,55.48,201,53.9,46.438,0.9938234999999999,0.976289090909091
