Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years
8,Lazio,38,15,9,14,52,52,54,55.21,43.58,59.99,2015
9,Chievo,38,13,11,14,43,45,50,40.59,51.09,45.91,2015
10,Genoa,38,13,7,18,45,48,46,45.29,48.63,48.63,2015
11,Empoli,38,12,10,16,40,49,46,37.84,47.51,44.41,2015
12,Torino,38,12,9,17,52,55,45,49.42,41.29,57.52,2015
13,Atalanta,38,11,12,15,41,47,45,46.08,51.41,49.42,2015
14,Bologna,38,11,9,18,33,45,42,35.48,51.84,41.54,2015
15,Sampdoria,38,10,10,18,48,61,40,40.53,66.19,36.56,2015
16,Udinese,38,10,9,19,35,60,39,46.31,51.42,48.73,2015
17,Palermo,38,10,9,19,38,65,39,36.55,61.84,35.26,2015
18,Carpi,38,9,11,18,37,57,38,43.37,51.8,45.19,2015
19,Frosinone,38,8,7,23,35,76,31,33.84,74.23,29.38,2015
20,Verona,38,5,13,20,34,63,28,40.17,61.71,38.87,2015
1,Juventus,38,29,4,5,77,27,91,68.74,23.6,82.86,2016
2,Roma,38,28,3,7,90,38,87,83.0,41.08,77.39,2016
3,Napoli,38,26,8,4,94,39,86,77.51,32.16,81.28,2016
4,Atalanta,38,21,9,8,62,41,72,61.39,34.35,68.92,2016
5,Lazio,38,21,7,10,74,51,70,65.39,41.77,67.36,2016
6,AC Milan,38,18,9,11,57,45,63,59.67,50.21,58.88,2016
7,Inter,38,19,5,14,72,49,62,68.76,44.78,67.65,2016
8,Fiorentina,38,16,12,10,63,57,60,55.14,53.3,55.61,2016
9,Torino,38,13,14,11,71,66,53,57.4,61.72,48.75,2016
10,Sassuolo,38,14,7,17,60,61,49,50.57,61.9,44.56,2016
11,Sampdoria,38,12,12,14,49,55,48,46.17,56.86,46.62,2016
12,Cagliari,38,14,5,19,55,76,47,42.42,68.32,36.17,2016
13,Udinese,38,12,9,17,47,56,45,44.94,54.66,47.22,2016
14,Chievo,38,12,7,19,43,61,43,42.74,55.01,45.88,2016
15,Bologna,38,11,8,19,40,58,41,36.51,58.3,38.57,2016
16,Genoa,38,9,9,20,38,64,36,45.2,51.25,49.0,2016
17,Crotone,38,9,7,22,34,58,34,34.17,61.23,33.94,2016
18,Empoli,38,8,8,22,29,61,32,35.09,67.01,33.29,2016
19,Palermo,38,6,8,24,33,77,26,28.92,60.94,30.52,2016
20,Pescara,38,2,9,27,35,83,15,43.12,68.41,38.05,2016
1,Juventus,38,30,5,3,86,24,95,59.23,28.58,73.51,2017
2,Napoli,38,28,7,3,77,29,91,70.45,25.27,82.23,2017
3,Roma,38,23,8,7,61,28,77,65.63,38.46,69.24,2017
4,Lazio,38,21,9,8,89,49,72,66.51,42.57,66.05,2017
5,Inter,38,20,12,6,66,30,72,60.83,37.33,65.25,2017
6,AC Milan,38,18,10,10,56,42,64,50.88,36.78,62.35,2017
7,Atalanta,38,16,12,10,57,39,60,64.29,36.5,69.88,2017
8,Fiorentina,38,16,9,13,54,46,57,54.12,42.15,60.41,2017
9,Torino,38,13,15,10,54,46,54,46.59,49.11,51.84,2017
10,Sampdoria,38,16,6,16,56,60,54,53.14,62.26,46.87,2017
11,Sassuolo,38,11,10,17,29,59,43,47.15,50.63,51.7,2017
12,Genoa,38,11,8,19,33,43,41,42.21,42.87,50.38,2017
13,Udinese,38,12,4,22,48,63,40,45.2,50.71,47.34,2017
14,Chievo,38,10,10,18,36,59,40,34.42,55.28,38.66,2017
15,Bologna,38,11,6,21,40,52,39,36.11,48.8,43.01,2017
16,Cagliari,38,11,6,21,33,61,39,38.27,57.91,40.41,2017
17,SPAL 2013,38,8,14,16,39,59,38,34.61,60.18,35.41,2017
18,Crotone,38,9,8,21,40,66,35,33.24,59.43,35.44,2017
19,Verona,38,7,4,27,30,78,25,33.76,72.71,31.06,2017
20,Benevento,38,6,3,29,33,84,21,38.21,77.31,30.09,2017
1,Juventus,38,28,6,4,70,30,90,64.53,35.03,70.93,2018
2,Napoli,38,24,7,7,74,36,79,68.24,36.5,74.45,2018
3,Atalanta,38,20,9,9,77,46,69,74.43,41.85,71.88,2018
4,Inter,38,20,9,9,57,33,69,66.47,38.4,71.75,2018
5,AC Milan,38,19,11,8,55,36,68,52.16,41.7,60.11,2018
6,Roma,38,18,12,8,66,48,66,68.39,52.79,62.13,2018
7,Torino,38,16,15,7,52,37,63,46.47,48.94,49.84,2018
8,Lazio,38,17,8,13,56,46,59,61.27,46.45,61.04,2018
9,Sampdoria,38,15,8,15,60,51,53,53.19,54.27,50.95,2018
10,Bologna,38,11,11,16,48,56,44,48.1,51.06,48.95,2018
11,Sassuolo,38,9,16,13,53,60,43,49.75,61.11,45.64,2018
12,Udinese,38,11,10,17,39,53,43,42.49,62.23,38.67,2018
13,SPAL 2013,38,11,9,18,44,56,42,43.28,54.01,44.73,2018
14,Fiorentina,38,8,17,13,47,45,41,54.12,44.08,59.22,2018
15,Cagliari,38,10,11,17,36,54,41,40.94,63.74,39.37,2018
16,Parma Calcio 1913,38,10,11,17,41,61,41,41.1,64.98,36.78,2018
17,Genoa,38,8,14,16,39,57,38,44.54,56.35,44.68,2018
18,Empoli,38,10,8,20,51,70,38,52.06,63.33,46.54,2018
19,Frosinone,38,5,10,23,29,69,25,36.1,64.59,35.94,2018
20,Chievo,38,2,14,22,25,75,20,36.48,62.69,35.0,2018
1,Juventus,38,26,5,7,76,43,83,73.77,41.0,71.24,2019
2,Inter,38,24,10,4,81,36,82,73.95,39.36,75.38,2019
3,Atalanta,38,23,9,6,98,48,78,86.17,41.73,76.01,2019
4,Lazio,38,24,6,8,79,42,78,67.55,52.33,62.18,2019
5,Roma,38,21,7,10,77,51,70,78.32,49.15,70.26,2019
6,AC Milan,38,19,9,10,63,46,66,65.27,46.42,65.47,2019
7,Napoli,38,18,8,12,61,50,62,63.88,43.17,66.49,2019
8,Sassuolo,38,14,9,15,69,63,51,53.42,65.07,46.17,2019
9,Fiorentina,38,12,13,13,51,48,49,53.49,50.3,54.92,2019
10,Parma Calcio 1913,38,14,7,17,56,57,49,47.12,64.13,41.83,2019
11,Verona,38,12,13,13,47,51,49,52.49,53.95,50.26,2019
12,Bologna,38,12,11,15,52,65,47,57.41,54.87,52.97,2019
13,Cagliari,38,11,12,15,52,56,45,41.92,60.98,40.05,2019
14,Udinese,38,12,9,17,37,51,45,43.69,52.54,49.32,2019
15,Sampdoria,38,12,6,20,48,65,42,48.92,56.21,49.71,2019
16,Torino,38,11,7,20,46,68,40,43.49,63.49,39.04,2019
17,Genoa,38,10,9,19,47,73,39,49.89,59.51,46.12,2019
18,Lecce,38,9,8,21,52,85,35,53.47,91.97,34.92,2019
19,Brescia,38,6,7,25,35,79,25,43.25,78.38,33.14,2019
20,SPAL 2013,38,5,5,28,27,77,20,39.07,71.97,30.49,2019
1,Inter,38,28,7,3,89,35,91,78.35,40.59,77.32,2020
2,AC Milan,38,24,7,7,74,41,79,75.05,48.84,68.75,2020
3,Atalanta,38,23,9,6,90,47,78,82.01,39.94,77.57,2020
4,Juventus,38,23,9,6,77,38,78,83.53,38.33,79.47,2020
5,Napoli,38,24,5,9,86,41,77,74.98,41.88,73.83,2020
6,Lazio,38,21,5,12,61,55,68,58.7,48.84,57.38,2020
7,Roma,38,18,9,11,68,55,63,72.11,50.33,65.2,2020
8,Sassuolo,38,17,11,10,64,56,62,61.61,54.82,57.31,2020
9,Sampdoria,38,15,7,16,52,54,52,46.7,58.63,44.07,2020
10,Verona,38,10,13,15,43,48,43,47.97,52.45,49.62,2020
11,Genoa,38,10,12,16,47,58,42,40.71,62.68,38.6,2020
12,Bologna,38,10,11,17,51,65,41,57.53,67.59,49.36,2020
13,Fiorentina,38,9,13,16,47,59,40,46.2,62.02,42.99,2020
14,Udinese,38,10,10,18,42,58,40,48.24,56.38,48.91,2020
15,Spezia,38,9,12,17,52,72,39,47.9,70.59,39.52,2020
16,Cagliari,38,9,10,19,43,59,37,45.6,65.26,41.13,2020
17,Torino,38,7,16,15,50,69,37,49.6,64.22,44.68,2020
18,Benevento,38,7,12,19,40,75,33,38.65,70.48,32.75,2020
19,Crotone,38,6,5,27,45,92,23,39.64,77.48,29.87,2020
20,Parma Calcio 1913,38,3,11,24,39,83,20,42.98,66.69,37.49,2020
