Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Total,"24,88",83.83,2.54,2019,brescia calcio
Gardien,"27,00",1.95,0.65,2020,brescia calcio
Défense,"23,55",16.3,1.48,2020,brescia calcio
Milieu de terrain,"24,58",14.1,1.18,2020,brescia calcio
Attaquant,"25,38",12.0,1.5,2020,brescia calcio
Total,"24,65",44.35,1.3,2020,brescia calcio
Gardien,"19,14",0.9,0.129,2014,spezia calcio
Défense,"22,21",7.0,0.5,2014,spezia calcio
Milieu de terrain,"24,44",7.05,0.783,2014,spezia calcio
Attaquant,"23,47",13.13,0.772,2014,spezia calcio
Total,"22,64",28.08,0.597,2014,spezia calcio
Gardien,"22,40",1.35,0.27,2015,spezia calcio
Défense,"24,25",4.53,0.377,2015,spezia calcio
Milieu de terrain,"24,78",5.88,0.653,2015,spezia calcio
Attaquant,"24,91",7.83,0.711,2015,spezia calcio
Total,"24,32",19.58,0.529,2015,spezia calcio
Gardien,"21,17",1.33,0.221,2016,spezia calcio
Défense,"22,00",9.7,0.571,2016,spezia calcio
Milieu de terrain,"23,07",8.95,0.597,2016,spezia calcio
Attaquant,"23,62",7.95,0.612,2016,spezia calcio
Total,"22,63",27.93,0.548,2016,spezia calcio
Gardien,"22,83",1.88,0.313,2017,spezia calcio
Défense,"23,88",6.23,0.389,2017,spezia calcio
Milieu de terrain,"23,14",7.53,0.538,2017,spezia calcio
Attaquant,"23,75",5.23,0.327,2017,spezia calcio
Total,"23,52",20.85,0.401,2017,spezia calcio
Gardien,"24,29",1.3,0.186,2018,spezia calcio
Défense,"24,29",6.53,0.466,2018,spezia calcio
Milieu de terrain,"23,23",6.08,0.467,2018,spezia calcio
Attaquant,"23,75",11.45,0.954,2018,spezia calcio
Total,"23,85",25.35,0.551,2018,spezia calcio
Gardien,"20,00",1.78,0.355,2019,spezia calcio
Défense,"24,33",4.7,0.522,2019,spezia calcio
Milieu de terrain,"23,33",4.45,0.494,2019,spezia calcio
Attaquant,"25,70",5.35,0.535,2019,spezia calcio
Total,"23,82",16.28,0.493,2019,spezia calcio
Gardien,"26,80",5.03,1.01,2020,spezia calcio
Défense,"24,00",18.65,1.33,2020,spezia calcio
Milieu de terrain,"24,17",30.0,2.5,2020,spezia calcio
Attaquant,"25,25",18.0,2.25,2020,spezia calcio
Total,"24,67",71.68,1.84,2020,spezia calcio
