Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Total,"22,53",216.75,3.67,2018,sampdoria genua
Gardien,"21,60",12.63,2.53,2019,sampdoria genua
Défense,"25,15",43.38,3.34,2019,sampdoria genua
Milieu de terrain,"23,54",50.03,3.85,2019,sampdoria genua
Attaquant,"25,29",29.25,4.18,2019,sampdoria genua
Total,"24,16",135.28,3.56,2019,sampdoria genua
Gardien,"23,75",15.08,3.77,2020,sampdoria genua
Défense,"25,90",30.7,3.07,2020,sampdoria genua
Milieu de terrain,"25,58",42.45,3.54,2020,sampdoria genua
Attaquant,"25,38",38.8,4.85,2020,sampdoria genua
Total,"25,41",127.03,3.74,2020,sampdoria genua
Gardien,"25,00",19.63,3.93,2014,inter mailand
Défense,"24,13",73.3,4.58,2014,inter mailand
Milieu de terrain,"23,07",100.63,7.19,2014,inter mailand
Attaquant,"22,44",73.65,8.18,2014,inter mailand
Total,"23,55",267.2,6.07,2014,inter mailand
Gardien,"27,75",16.1,4.03,2015,inter mailand
Défense,"23,83",93.53,5.2,2015,inter mailand
Milieu de terrain,"23,54",115.05,8.85,2015,inter mailand
Attaquant,"24,43",69.6,9.94,2015,inter mailand
Total,"24,21",294.28,7.01,2015,inter mailand
Gardien,"26,60",10.85,2.17,2016,inter mailand
Défense,"24,33",62.65,4.18,2016,inter mailand
Milieu de terrain,"23,21",164.0,11.71,2016,inter mailand
Attaquant,"25,14",90.8,12.97,2016,inter mailand
Total,"24,37",328.3,8.01,2016,inter mailand
Gardien,"29,00",9.5,2.38,2017,inter mailand
Défense,"25,42",133.58,11.13,2017,inter mailand
Milieu de terrain,"24,00",210.25,17.52,2017,inter mailand
Attaquant,"22,83",133.0,22.17,2017,inter mailand
Total,"24,88",486.33,14.3,2017,inter mailand
Gardien,"26,43",23.45,3.35,2018,inter mailand
Défense,"23,25",214.5,10.73,2018,inter mailand
Milieu de terrain,"23,76",186.65,10.98,2018,inter mailand
Attaquant,"20,25",193.33,12.08,2018,inter mailand
Total,"22,97",617.93,10.3,2018,inter mailand
Gardien,"30,00",5.55,1.39,2019,inter mailand
Défense,"26,09",175.5,15.95,2019,inter mailand
Milieu de terrain,"26,17",244.7,20.39,2019,inter mailand
Attaquant,"22,00",180.3,25.76,2019,inter mailand
Total,"25,74",606.05,17.83,2019,inter mailand
Gardien,"27,50",9.4,2.35,2020,inter mailand
Défense,"26,50",252.0,21.0,2020,inter mailand
Milieu de terrain,"24,29",199.65,14.26,2020,inter mailand
Attaquant,"23,00",200.3,33.38,2020,inter mailand
Total,"25,17",661.35,18.37,2020,inter mailand
Gardien,"26,50",6.18,0.772,2014, turin
Défense,"24,00",33.18,2.07,2014, turin
Milieu de terrain,"26,40",18.0,1.8,2014, turin
Attaquant,"24,18",25.23,2.29,2014, turin
Total,"25,02",82.58,1.84,2014, turin
Gardien,"26,60",2.8,0.56,2015, turin
Défense,"24,50",41.25,2.95,2015, turin
Milieu de terrain,"24,40",20.03,2.0,2015, turin
Attaquant,"24,30",25.75,2.58,2015, turin
Total,"24,69",89.83,2.3,2015, turin
Gardien,"22,57",16.65,2.38,2016, turin
Défense,"24,45",51.23,2.56,2016, turin
Milieu de terrain,"22,67",41.1,2.74,2016, turin
Attaquant,"22,22",53.38,5.93,2016, turin
Total,"23,27",162.35,3.18,2016, turin
Gardien,"23,25",8.48,2.12,2017, turin
Défense,"24,72",52.03,2.89,2017, turin
Milieu de terrain,"22,29",41.8,2.99,2017, turin
Attaquant,"20,80",72.75,4.85,2017, turin
Total,"22,78",175.05,3.43,2017, turin
Gardien,"24,43",10.1,1.44,2018, turin
Défense,"23,13",83.7,3.64,2018, turin
Milieu de terrain,"22,53",57.05,3.36,2018, turin
Attaquant,"21,47",88.38,5.89,2018, turin
Total,"22,71",239.23,3.86,2018, turin
Gardien,"29,00",6.98,1.74,2019, turin
Défense,"23,06",65.35,4.08,2019, turin
Milieu de terrain,"22,67",36.83,4.09,2019, turin
Attaquant,"23,38",54.4,6.8,2019, turin
Total,"23,68",163.55,4.42,2019, turin
Gardien,"28,40",3.63,0.725,2020, turin
Défense,"24,42",52.4,4.37,2020, turin
Milieu de terrain,"23,31",51.05,3.93,2020, turin
Attaquant,"23,60",68.1,6.81,2020, turin
Total,"24,35",175.18,4.38,2020, turin
Gardien,"25,17",12.45,2.08,2014,ac mailand
Défense,"25,88",68.6,4.29,2014,ac mailand
Milieu de terrain,"22,50",75.78,4.74,2014,ac mailand
Attaquant,"23,67",82.3,9.14,2014,ac mailand
Total,"24,21",239.13,5.09,2014,ac mailand
Gardien,"26,00",10.58,2.64,2015,ac mailand
Défense,"24,40",51.38,3.43,2015,ac mailand
Milieu de terrain,"24,07",70.23,5.02,2015,ac mailand
Attaquant,"24,89",81.65,9.07,2015,ac mailand
Total,"24,55",213.83,5.09,2015,ac mailand
Gardien,"24,33",28.15,4.69,2016,ac mailand
Défense,"23,36",67.2,4.8,2016,ac mailand
Milieu de terrain,"24,36",80.48,5.75,2016,ac mailand
Attaquant,"23,50",78.5,9.81,2016,ac mailand
Total,"23,86",254.33,6.06,2016,ac mailand
Gardien,"23,67",42.45,7.08,2017,ac mailand
Défense,"24,79",144.4,10.31,2017,ac mailand
Milieu de terrain,"22,85",108.6,8.35,2017,ac mailand
Attaquant,"22,33",111.33,12.37,2017,ac mailand
Total,"23,50",406.78,9.69,2017,ac mailand
Gardien,"23,20",59.0,11.8,2018,ac mailand
Défense,"24,06",161.48,10.09,2018,ac mailand
Milieu de terrain,"23,20",167.85,11.19,2018,ac mailand
Attaquant,"22,89",190.15,21.13,2018,ac mailand
Total,"23,44",578.48,12.86,2018,ac mailand
Gardien,"26,80",53.03,10.61,2019,ac mailand
Défense,"24,36",134.4,12.22,2019,ac mailand
Milieu de terrain,"22,73",93.8,8.53,2019,ac mailand
Attaquant,"24,30",123.1,12.31,2019,ac mailand
Total,"24,19",404.33,10.93,2019,ac mailand
Gardien,"24,00",60.9,12.18,2020,ac mailand
Défense,"23,29",175.48,12.53,2020,ac mailand
Milieu de terrain,"21,31",212.0,16.31,2020,ac mailand
Attaquant,"23,90",98.38,9.84,2020,ac mailand
Total,"22,90",546.75,13.02,2020,ac mailand
Gardien,"22,20",2.9,0.58,2014,palermo 
Défense,"24,18",20.95,1.23,2014,palermo 
Milieu de terrain,"26,60",28.1,2.81,2014,palermo 
Attaquant,"20,75",40.75,5.09,2014,palermo 
Total,"23,85",92.7,2.32,2014,palermo 
Gardien,"22,60",2.5,0.5,2015,palermo 
Défense,"24,67",15.85,1.32,2015,palermo 
Milieu de terrain,"23,93",34.58,2.47,2015,palermo 
Attaquant,"21,67",15.75,1.75,2015,palermo 
Total,"23,48",68.68,1.72,2015,palermo 
Gardien,"18,60",2.4,0.48,2016,palermo 
Défense,"25,21",13.8,0.986,2016,palermo 
Milieu de terrain,"25,10",12.75,1.28,2016,palermo 
Attaquant,"21,40",12.15,1.22,2016,palermo 
Total,"23,36",41.1,1.05,2016,palermo 
Gardien,"22,00",1.65,0.275,2017,palermo 
Défense,"23,47",9.55,0.637,2017,palermo 
Milieu de terrain,"23,15",10.05,0.773,2017,palermo 
Attaquant,"23,10",11.85,1.19,2017,palermo 
Total,"23,09",33.1,0.752,2017,palermo 
Gardien,"23,17",3.35,0.558,2018,palermo 
Défense,"24,00",8.0,0.471,2018,palermo 
Milieu de terrain,"23,80",13.18,1.32,2018,palermo 
Attaquant,"22,88",12.9,1.61,2018,palermo 
Total,"23,61",37.43,0.913,2018,palermo 
Gardien,"21,67",0.25,0.083,2019,palermo 
Défense,"20,67",0.75,0.083,2019,palermo 
Milieu de terrain,"22,30",0.7,0.07,2019,palermo 
Attaquant,"25,30",0.775,0.078,2019,palermo 
Total,"22,72",2.48,0.077,2019,palermo 
Gardien,"21,00",0.21,0.053,2020,palermo 
Défense,"23,36",1.79,0.162,2020,palermo 
Milieu de terrain,"25,29",2.03,0.289,2020,palermo 
Attaquant,"26,75",1.78,0.222,2020,palermo 
Total,"24,40",5.8,0.193,2020,palermo 
Gardien,"29,00",9.15,1.83,2014,us sassuolo
Défense,"26,44",22.88,1.43,2014,us sassuolo
Milieu de terrain,"24,89",19.8,2.2,2014,us sassuolo
Attaquant,"22,45",39.2,3.56,2014,us sassuolo
Total,"25,34",91.03,2.22,2014,us sassuolo
Gardien,"25,80",8.03,1.61,2015,us sassuolo
Défense,"23,73",28.73,1.92,2015,us sassuolo
Milieu de terrain,"22,60",15.9,1.59,2015,us sassuolo
Attaquant,"23,89",44.35,4.93,2015,us sassuolo
Total,"23,74",97.0,2.49,2015,us sassuolo
Gardien,"25,17",8.53,1.42,2016,us sassuolo
Défense,"24,13",26.23,1.75,2016,us sassuolo
Milieu de terrain,"23,38",36.75,2.83,2016,us sassuolo
Attaquant,"22,29",73.75,5.27,2016,us sassuolo
Total,"23,52",145.25,3.03,2016,us sassuolo
Gardien,"25,75",5.48,1.37,2017,us sassuolo
Défense,"24,00",38.58,2.57,2017,us sassuolo
Milieu de terrain,"24,22",23.08,2.56,2017,us sassuolo
Attaquant,"23,18",59.7,5.43,2017,us sassuolo
Total,"24,00",126.83,3.25,2017,us sassuolo
Gardien,"29,00",4.3,1.43,2018,us sassuolo
Défense,"21,85",82.05,4.1,2018,us sassuolo
Milieu de terrain,"23,33",75.13,4.17,2018,us sassuolo
Attaquant,"22,39",80.58,4.48,2018,us sassuolo
Total,"22,83",242.05,4.1,2018,us sassuolo
