Position,Valeur maximum,Years,Crew
Gardien,12.0,2019,sampdoria-genua
Défense,6.5,2019,sampdoria-genua
Milieu,11.0,2019,sampdoria-genua
Attaquant,9.5,2019,sampdoria-genua
Total,12.0,2019,sampdoria-genua
Gardien,14.0,2020,sampdoria-genua
Défense,6.0,2020,sampdoria-genua
Milieu,7.0,2020,sampdoria-genua
Attaquant,13.0,2020,sampdoria-genua
Total,14.0,2020,sampdoria-genua
Gardien,18.5,2014,inter-mailand
Défense,13.0,2014,inter-mailand
Milieu,22.0,2014,inter-mailand
Attaquant,25.0,2014,inter-mailand
Total,25.0,2014,inter-mailand
Gardien,15.0,2015,inter-mailand
Défense,18.0,2015,inter-mailand
Milieu,24.0,2015,inter-mailand
Attaquant,32.0,2015,inter-mailand
Total,32.0,2015,inter-mailand
Gardien,10.0,2016,inter-mailand
Défense,13.0,2016,inter-mailand
Milieu,30.0,2016,inter-mailand
Attaquant,50.0,2016,inter-mailand
Total,50.0,2016,inter-mailand
Gardien,8.5,2017,inter-mailand
Défense,45.0,2017,inter-mailand
Milieu,30.0,2017,inter-mailand
Attaquant,95.0,2017,inter-mailand
Total,95.0,2017,inter-mailand
Gardien,15.0,2018,inter-mailand
Défense,60.0,2018,inter-mailand
Milieu,50.0,2018,inter-mailand
Attaquant,80.0,2018,inter-mailand
Total,80.0,2018,inter-mailand
Gardien,4.8,2019,inter-mailand
Défense,48.0,2019,inter-mailand
Milieu,68.0,2019,inter-mailand
Attaquant,68.0,2019,inter-mailand
Total,68.0,2019,inter-mailand
Gardien,6.0,2020,inter-mailand
Défense,60.0,2020,inter-mailand
Milieu,65.0,2020,inter-mailand
Attaquant,100.0,2020,inter-mailand
Total,100.0,2020,inter-mailand
Gardien,2.0,2014,fc-turin
Défense,8.0,2014,fc-turin
Milieu,4.0,2014,fc-turin
Attaquant,13.5,2014,fc-turin
Total,13.5,2014,fc-turin
Gardien,1.4,2015,fc-turin
Défense,10.0,2015,fc-turin
Milieu,6.5,2015,fc-turin
Attaquant,10.0,2015,fc-turin
Total,10.0,2015,fc-turin
Gardien,13.0,2016,fc-turin
Défense,11.0,2016,fc-turin
Milieu,11.0,2016,fc-turin
Attaquant,30.0,2016,fc-turin
Total,30.0,2016,fc-turin
Gardien,6.0,2017,fc-turin
Défense,20.0,2017,fc-turin
Milieu,13.0,2017,fc-turin
Attaquant,38.0,2017,fc-turin
Total,38.0,2017,fc-turin
Gardien,7.5,2018,fc-turin
Défense,20.0,2018,fc-turin
Milieu,13.0,2018,fc-turin
Attaquant,35.0,2018,fc-turin
Total,35.0,2018,fc-turin
Gardien,6.5,2019,fc-turin
Défense,16.0,2019,fc-turin
Milieu,13.0,2019,fc-turin
Attaquant,32.0,2019,fc-turin
Total,32.0,2019,fc-turin
Gardien,2.5,2020,fc-turin
Défense,10.0,2020,fc-turin
Milieu,14.0,2020,fc-turin
Attaquant,35.0,2020,fc-turin
Total,35.0,2020,fc-turin
Gardien,6.5,2014,ac-mailand
Défense,10.0,2014,ac-mailand
Milieu,14.0,2014,ac-mailand
Attaquant,16.5,2014,ac-mailand
Total,16.5,2014,ac-mailand
Gardien,8.0,2015,ac-mailand
Défense,18.0,2015,ac-mailand
Milieu,21.0,2015,ac-mailand
Attaquant,25.0,2015,ac-mailand
Total,25.0,2015,ac-mailand
Gardien,25.0,2016,ac-mailand
Défense,25.0,2016,ac-mailand
Milieu,24.0,2016,ac-mailand
Attaquant,18.0,2016,ac-mailand
Total,25.0,2016,ac-mailand
Gardien,40.0,2017,ac-mailand
Défense,40.0,2017,ac-mailand
Milieu,30.0,2017,ac-mailand
Attaquant,35.0,2017,ac-mailand
Total,40.0,2017,ac-mailand
Gardien,55.0,2018,ac-mailand
Défense,50.0,2018,ac-mailand
Milieu,35.0,2018,ac-mailand
Attaquant,40.0,2018,ac-mailand
Total,55.0,2018,ac-mailand
Gardien,49.5,2019,ac-mailand
Défense,36.0,2019,ac-mailand
Milieu,22.5,2019,ac-mailand
Attaquant,24.0,2019,ac-mailand
Total,49.5,2019,ac-mailand
