id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
3242,Diego,31,2376,4,3.6096,8,7.7829,55,57,3,0,F M S,Reims,4,3.6096,10.1211,5.1327,2014
3291,Adrien Rabiot,20,1120,4,2.1862,1,1.5999,17,11,1,0,M S,Paris Saint Germain,4,2.1862,8.8422,6.8273,2014
3296,Blaise Matuidi,34,2190,4,2.89,2,2.6588,24,21,2,0,M S,Paris Saint Germain,4,2.89,15.0326,10.9277,2014
3309,Valère Germain,29,819,4,3.2736,1,1.367,22,9,0,0,F M S,Monaco,4,3.2736,5.6254,1.8353,2014
3333,Francois Kamano,24,1501,4,3.7552,3,2.0817,35,15,3,1,F M S,SC Bastia,4,3.7552,5.9553,1.1674,2014
3342,Kévin Berigaud,33,2185,4,5.688,4,1.4171,48,22,3,0,F M S,Montpellier,4,5.688,7.4782,1.1319,2014
3368,Junior Tallo,16,953,4,4.1942,0,0.1864,26,5,4,0,F S,SC Bastia,3,3.4341,2.825,0.4769,2014
3410,Yacine Bammou,37,2295,4,7.1416,3,1.7155,70,23,3,0,F M S,Nantes,4,7.1416,9.9965,2.1968,2014
3422,João Moutinho,37,3165,4,4.5609,6,6.4831,47,69,6,0,M S,Monaco,3,3.8008,16.9882,10.2335,2014
3493,Gilles Sunu,27,1588,4,2.1474,2,1.3072,35,19,3,0,M S,"Evian Thonon Gaillard,Lorient",4,2.1474,3.557,1.3434,2014
3564,Lenny Nangis,34,2258,4,2.5444,2,2.263,44,19,3,1,M S,Caen,4,2.5444,7.075,2.8863,2014
3574,Nicolas Benezet,23,1115,4,2.0106,1,0.9801,24,14,0,0,F M S,"Caen,Evian Thonon Gaillard",4,2.0106,4.2443,2.0866,2014
3626,Mexer,35,3150,4,1.063,0,0.3673,16,5,3,0,D,Rennes,4,1.063,4.9795,4.7665,2014
4772,Adamo Coulibaly,33,2467,4,7.3854,1,1.8478,58,22,4,0,F M S,Lens,3,5.8652,8.6669,2.8108,2014
4786,Cédric Barbosa,29,1734,4,2.058,2,2.1304,20,23,2,0,F M S,Evian Thonon Gaillard,4,2.058,5.2611,2.7796,2014
4820,Juan Manuel Falcón,21,1250,4,3.4654,0,0.2017,24,13,1,0,F S,Metz,4,3.4654,5.1577,1.8356,2014
1109,Lucas Ocampos,28,1008,3,2.8099,1,2.0299,28,13,3,0,F M S,"Marseille,Monaco",3,2.8099,5.5194,1.4168,2014
1581,Serge Gakpe,33,2225,3,4.502,2,3.1729,52,31,5,0,F M S,Nantes,3,3.7419,9.0694,2.9337,2014
1726,Abdoulaye Doucouré,35,2753,3,6.8459,5,3.6466,54,44,5,0,M S,Rennes,3,6.8459,13.7269,5.3828,2014
1734,Sofiane Boufal,14,1013,3,2.9838,6,2.3397,20,28,1,0,F M S,Lille,1,1.4636,4.9614,2.1132,2014
3213,Adrien Regattin,34,1700,3,1.9236,5,3.6478,36,50,3,0,F M S,Toulouse,2,1.1635,3.8264,1.476,2014
3229,Yoann Gourcuff,17,773,3,2.141,4,2.1713,19,21,0,0,M S,Lyon,3,2.141,4.6476,1.7802,2014
3244,Nicolas de Preville,25,1266,3,3.5429,3,2.5251,34,32,2,0,F M S,Reims,3,3.5429,4.7991,0.7045,2014
3289,Maxwell,26,2160,3,0.8599,3,2.8361,5,22,1,0,D S,Paris Saint Germain,3,0.8599,15.1697,13.4973,2014
3310,Alassane Pléa,33,2464,3,5.483,6,5.803,60,35,7,0,F M S,Nice,3,5.483,14.9245,6.5249,2014
3337,Hilton,37,3330,3,2.0383,0,0.2205,25,5,3,1,D,Montpellier,3,2.0383,2.4896,2.4138,2014
3362,Rony Lopes,23,1448,3,3.4422,3,2.0748,36,29,4,1,M S,Lille,3,3.4422,6.6743,1.7114,2014
3394,Romain Alessandrini,25,1226,3,3.8127,4,3.496,44,24,1,0,F M S,Marseille,3,3.8127,7.869,2.0565,2014
3405,Alejandro Bedoya,28,1883,3,2.5485,1,1.6723,36,26,3,0,M S,Nantes,3,2.5485,7.1245,3.9939,2014
3409,Johan Audel,24,1265,3,2.92,1,1.3091,30,18,0,0,F M S,Nantes,3,2.92,4.8148,2.0393,2014
3538,Tongo Doumbia,24,2012,3,1.8596,1,0.8612,27,8,4,0,M S,Toulouse,3,1.8596,4.6732,2.446,2014
3556,Prince Oniangué,32,2654,3,5.1152,1,0.6417,56,17,6,1,M S,Reims,3,5.1152,7.0052,4.2053,2014
3561,Romain Hamouma,26,1984,3,2.3304,8,7.3004,25,40,5,0,F M S,Saint-Etienne,3,2.3304,9.3391,2.2789,2014
3569,Steed Malbranque,27,1176,3,2.3862,1,2.4275,21,21,2,0,M S,Lyon,3,2.3862,6.1197,3.0343,2014
3590,Souleymane Camara,36,1282,3,7.1028,2,1.8859,53,17,0,0,F M S,Montpellier,3,7.1028,11.0967,2.8824,2014
3659,Christopher Maboulou,20,1146,3,2.108,0,0.6239,14,10,1,0,F M S,SC Bastia,3,2.108,2.3087,0.5352,2014
3730,Valentin Lavigne,15,454,3,1.5319,1,0.3507,8,5,1,0,F M S,Lorient,3,1.5319,2.2902,0.4483,2014
3787,Mouhamadou Habib Habibou,26,1001,3,4.145,1,1.8601,19,9,2,0,F M S,Rennes,3,4.145,6.9947,1.5474,2014
4706,Bangaly-Fodé Koita,29,1853,3,4.4715,2,2.2703,61,20,1,0,F M S,Caen,2,3.7114,6.3075,1.4288,2014
4737,Florent Malouda,28,2348,3,4.7175,5,4.3192,54,42,5,0,F M,Metz,2,3.1974,7.8684,2.9694,2014
4778,Alharbi El Jadeyaoui,25,1329,3,2.6739,0,1.5463,20,19,5,0,F M S,Lens,3,1.9138,2.6178,0.8737,2014
4851,Dario Cvitanich,9,484,3,2.9389,0,0.511,11,5,0,0,F S,Nice,3,2.9389,2.9017,0.2044,2014
354,Gaëtan Bussmann,31,2678,2,1.271,4,1.2151,19,15,2,0,D,Metz,2,1.271,5.0236,3.4201,2014
696,Falcao,3,127,2,1.2522,0,0.0,4,0,0,0,F S,Monaco,1,0.4922,0.6402,0.1481,2014
751,N&#039;Golo Kanté,37,3185,2,1.5944,5,2.4953,35,45,4,1,M S,Caen,2,1.5944,8.9684,5.6573,2014
861,Giannelli Imbula,37,3182,2,1.6465,2,2.5071,47,32,4,1,M,Marseille,2,1.6465,15.7169,12.7778,2014
1299,Mario Lemina,21,1215,2,1.4912,0,0.9365,9,11,2,1,D M S,Marseille,2,1.4912,5.5923,4.1693,2014
1531,Jean-Christophe Bahebeck,15,542,2,1.1375,3,0.9752,16,7,2,0,F S,Paris Saint Germain,2,1.1375,2.0091,0.5994,2014
1676,David Luiz,28,2286,2,4.3591,0,0.0385,28,2,5,0,D M S,Paris Saint Germain,2,4.3591,8.9029,8.4466,2014
1729,Georges-Kévin Nkoudou,28,1600,2,2.7913,1,0.9766,27,15,2,0,F M S,Nantes,2,2.7913,4.8584,1.4849,2014
1784,Jérémy Pied,30,2144,2,0.8751,7,4.7045,23,51,6,0,F M S,"Guingamp,Nice",2,0.8751,6.2393,3.1322,2014
2999,Gianni Bruno,29,1250,2,4.1057,1,1.283,35,10,0,0,F M S,"Evian Thonon Gaillard,Lorient",2,4.1057,5.3652,0.8934,2014
3209,Jean-Daniel Akpa-Akpro,32,2413,2,1.4403,3,2.0104,21,21,5,0,D M S,Toulouse,2,1.4403,6.33,3.6143,2014
3225,Pedro Henrique,34,1799,2,2.1669,4,3.2286,39,20,7,0,F M S,Rennes,2,2.1669,5.7422,2.2436,2014
3263,Thomas Touré,23,1510,2,3.3678,3,2.6855,45,28,4,0,F M S,Bordeaux,2,3.3678,6.1824,1.4847,2014
3308,Mathieu Bodmer,22,1852,2,0.9996,0,0.7233,8,5,5,0,D M S,Nice,2,0.9996,4.3289,3.4833,2014
3319,Francois Modesto,29,2300,2,2.1771,0,0.2955,7,5,3,0,D M S,SC Bastia,2,2.1771,2.4331,2.1733,2014
3340,Bryan Dabo,21,1825,2,1.5399,2,1.0618,18,7,5,0,D M S,Montpellier,2,1.5399,4.0897,2.0912,2014
3357,Djibril Sidibe,25,2095,2,1.8224,2,2.3023,21,34,6,1,D S,Lille,2,1.8224,7.7118,4.5994,2014
3366,Yassine Benzia,10,320,2,1.9396,0,0.2304,10,5,0,0,F S,Lyon,2,1.9396,1.3552,0.7956,2014
3387,Nicolas N&#039;Koulou,24,2111,2,1.505,0,0.043,12,2,5,0,D S,Marseille,2,1.505,6.1631,6.0358,2014
3393,Bouna Sarr,30,2076,2,2.7778,2,3.5912,50,44,6,0,F M S,Metz,1,2.0177,6.8243,3.2265,2014
3401,Oswaldo Vizcarrondo,36,3240,2,2.017,0,0.1389,16,5,5,1,D,Nantes,2,2.017,1.8352,1.7565,2014
3403,Guillaume Gillet,38,3350,2,2.0766,2,2.4522,26,18,6,0,D M S,SC Bastia,2,2.0766,4.1329,2.6577,2014
3457,Francois Bellugou,20,1712,2,0.9159,0,0.1248,5,3,4,0,D M S,Lorient,2,0.9159,1.471,1.3462,2014
3463,Romain Philippoteaux,15,1037,2,1.0154,1,0.9587,13,14,0,0,M S,Lorient,2,1.0154,3.3867,1.9538,2014
3476,Thibault Giresse,32,2096,2,2.572,1,4.7795,33,43,1,0,M S,Guingamp,2,2.572,6.7222,1.8761,2014
3509,Fabien Lemoine,35,2817,2,1.4272,4,2.9229,23,33,7,0,M S,Saint-Etienne,2,1.4272,13.1571,10.0808,2014
3513,Kévin Monnet-Paquet,30,1717,2,2.4658,1,2.418,22,21,0,0,D F M S,Saint-Etienne,2,2.4658,7.0353,3.0942,2014
3515,Valentin Eysseric,36,2290,2,3.2284,4,4.7909,57,43,5,0,M S,Nice,1,2.4683,8.0486,4.5594,2014
3524,Alaeddine Yahia,18,1320,2,2.0092,0,0.1252,10,2,3,1,D S,Caen,2,2.0092,1.3578,1.3578,2014
3546,Julian Palmieri,35,2949,2,0.7436,1,1.3279,9,14,9,0,D M S,SC Bastia,2,0.7436,4.2696,2.3428,2014
3549,Adrien Thomasson,21,1672,2,1.1508,5,3.2381,32,21,3,0,M S,Evian Thonon Gaillard,2,1.1508,8.8098,5.5427,2014
3552,Marco Verratti,32,2466,2,1.5046,8,6.7819,12,38,11,0,M S,Paris Saint Germain,2,1.5046,17.6024,13.1273,2014
3634,Nabil Dirar,27,1273,2,1.7507,2,2.8179,12,18,3,1,D F M S,Monaco,2,1.7507,6.0101,4.3334,2014
3668,Jonathan Delaplace,21,1185,2,1.5839,0,0.2912,22,6,2,0,M S,Lille,2,1.5839,3.6873,1.9225,2014
3695,Adama Traoré,20,1029,2,0.8642,0,0.8107,18,15,3,0,F M S,Lille,2,0.8642,2.8519,1.6266,2014
3724,Baptiste Guillaume,26,1459,2,3.0577,1,1.3698,24,15,1,0,F S,Lens,2,3.0577,5.143,1.0718,2014
3731,Nicolas Maurice-Belay,32,1616,2,0.8818,4,3.7999,14,38,0,0,F M S,Bordeaux,2,0.8818,9.944,6.3683,2014
3791,Ryan Mendes,19,853,2,1.6603,2,0.9889,22,11,0,0,F M S,Lille,2,1.6603,3.996,1.8393,2014
4717,Modou Sougou,24,1125,2,2.6018,3,1.8227,15,11,4,0,F M S,Evian Thonon Gaillard,2,2.6018,3.4413,0.4323,2014
