Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Attaquant,"21,50","44,05","4,41",2015,olympique marseille
Total,"22,95","129,50","3,41",2015,olympique marseille
Gardien,"25,00","1,05",350 K €,2016,olympique marseille
Défense,"26,25","15,40","1,28",2016,olympique marseille
Milieu de terrain,"23,27","42,80","3,89",2016,olympique marseille
Attaquant,"24,14","60,40","8,63",2016,olympique marseille
Total,"24,70","119,65","3,63",2016,olympique marseille
Gardien,"26,75","3,15",788 K €,2017,olympique marseille
Défense,"27,73","43,65","3,97",2017,olympique marseille
Milieu de terrain,"23,14","75,50","10,79",2017,olympique marseille
Attaquant,"24,71","114,50","16,36",2017,olympique marseille
Total,"25,76","236,80","8,17",2017,olympique marseille
Gardien,"27,75","3,30",825 K €,2018,olympique marseille
Défense,"25,55","43,75","3,98",2018,olympique marseille
Milieu de terrain,"23,11","95,90","10,66",2018,olympique marseille
Attaquant,"25,44","115,40","12,82",2018,olympique marseille
Total,"25,12","258,35","7,83",2018,olympique marseille
Gardien,"26,25","3,05",763 K €,2019,olympique marseille
Défense,"23,00","49,95","5,55",2019,olympique marseille
Milieu de terrain,"21,86","94,15","6,73",2019,olympique marseille
Attaquant,"24,86","69,00","9,86",2019,olympique marseille
Total,"23,29","216,15","6,36",2019,olympique marseille
Gardien,"25,20","2,75",550 K €,2020,olympique marseille
Défense,"24,33","69,90","5,83",2020,olympique marseille
Milieu de terrain,"20,76","107,55","6,33",2020,olympique marseille
Attaquant,"25,22","71,20","7,91",2020,olympique marseille
Total,"23,21","251,40","5,85",2020,olympique marseille
Gardien,"25,33","10,40","3,47",2014,as saint etienne
Défense,"24,92","28,80","2,40",2014,as saint etienne
Milieu de terrain,"24,75","18,50","2,31",2014,as saint etienne
Attaquant,"23,00","25,65","3,21",2014,as saint etienne
Total,"24,42","83,35","2,69",2014,as saint etienne
Gardien,"24,67","10,40","3,47",2015,as saint etienne
Défense,"24,73","30,20","2,01",2015,as saint etienne
Milieu de terrain,"23,73","23,30","2,12",2015,as saint etienne
Attaquant,"23,27","33,30","3,03",2015,as saint etienne
Total,"24,05","97,20","2,43",2015,as saint etienne
Gardien,"24,25","6,85","1,71",2016,as saint etienne
Défense,"22,62","26,43","2,03",2016,as saint etienne
Milieu de terrain,"23,58","30,45","2,54",2016,as saint etienne
Attaquant,"22,31","21,30","1,64",2016,as saint etienne
Total,"22,95","85,03","2,02",2016,as saint etienne
Gardien,"25,25","5,95","1,49",2017,as saint etienne
Défense,"24,07","34,93","2,33",2017,as saint etienne
Milieu de terrain,"22,33","38,85","3,24",2017,as saint etienne
Attaquant,"24,67","27,15","3,02",2017,as saint etienne
Total,"23,80","106,88","2,67",2017,as saint etienne
Gardien,"24,40","4,20",840 K €,2018,as saint etienne
Défense,"23,83","32,25","2,69",2018,as saint etienne
Milieu de terrain,"21,85","52,45","4,03",2018,as saint etienne
Attaquant,"23,75","42,35","3,53",2018,as saint etienne
Total,"23,26","131,25","3,13",2018,as saint etienne
Gardien,"26,00","3,10",775 K €,2019,as saint etienne
Défense,"23,79","46,83","3,34",2019,as saint etienne
Milieu de terrain,"22,73","24,35","2,21",2019,as saint etienne
Attaquant,"23,92","30,55","2,55",2019,as saint etienne
Total,"23,76","104,83","2,56",2019,as saint etienne
Gardien,"21,20","5,40","1,08",2020,as saint etienne
Défense,"23,00","71,25","5,09",2020,as saint etienne
Milieu de terrain,"21,33","48,55","4,05",2020,as saint etienne
Attaquant,"23,83","29,45","2,45",2020,as saint etienne
Total,"22,56","154,65","3,60",2020,as saint etienne
Gardien,"23,00","4,25","1,06",2014,ogc nizza
Défense,"23,00","14,00","1,17",2014,ogc nizza
Milieu de terrain,"22,70","21,85","2,19",2014,ogc nizza
Attaquant,"21,18","16,15","1,47",2014,ogc nizza
Total,"22,38","56,25","1,52",2014,ogc nizza
Gardien,"22,25","3,60",900 K €,2015,ogc nizza
Défense,"23,67","16,15","1,79",2015,ogc nizza
Milieu de terrain,"22,92","36,05","3,00",2015,ogc nizza
Attaquant,"20,80","15,20","1,52",2015,ogc nizza
Total,"22,43","71,00","2,03",2015,ogc nizza
Gardien,"24,25","8,50","2,13",2016,ogc nizza
Défense,"22,08","30,85","2,57",2016,ogc nizza
Milieu de terrain,"23,91","59,10","5,37",2016,ogc nizza
Attaquant,"21,00","34,35","2,86",2016,ogc nizza
Total,"22,49","132,80","3,41",2016,ogc nizza
Gardien,"24,50","7,00","1,75",2017,ogc nizza
Défense,"22,92","50,30","3,87",2017,ogc nizza
Milieu de terrain,"22,92","80,30","6,18",2017,ogc nizza
Attaquant,"20,89","66,50","7,39",2017,ogc nizza
Total,"22,62","204,10","5,23",2017,ogc nizza
Gardien,"23,00","13,50","3,38",2018,ogc nizza
Défense,"23,00","59,65","4,97",2018,ogc nizza
Milieu de terrain,"20,82","49,50","4,50",2018,ogc nizza
Attaquant,"20,82","60,55","5,50",2018,ogc nizza
Total,"21,74","183,20","4,82",2018,ogc nizza
Gardien,"24,00","9,60","3,20",2019,ogc nizza
Défense,"22,62","71,58","5,51",2019,ogc nizza
Milieu de terrain,"21,67","54,85","4,57",2019,ogc nizza
Attaquant,"21,22","37,43","4,16",2019,ogc nizza
Total,"22,08","173,45","4,69",2019,ogc nizza
Gardien,"22,75","10,75","2,69",2020,ogc nizza
Défense,"21,69","82,40","5,15",2020,ogc nizza
Milieu de terrain,"21,91","71,25","6,48",2020,ogc nizza
Attaquant,"19,90","71,70","7,17",2020,ogc nizza
Total,"21,41","236,10","5,76",2020,ogc nizza
Gardien,"24,25","1,65",413 K €,2014,stade reims
Défense,"26,73","16,05","1,46",2014,stade reims
Milieu de terrain,"23,71","8,15","1,16",2014,stade reims
Attaquant,"23,50","13,40","1,34",2014,stade reims
Total,"24,75","39,25","1,23",2014,stade reims
Gardien,"23,67","1,85",308 K €,2015,stade reims
Défense,"26,58","17,40","1,45",2015,stade reims
Milieu de terrain,"24,71","7,85","1,12",2015,stade reims
Attaquant,"23,20","15,85","1,59",2015,stade reims
